zoneshortname|groupindex|wmogroupid
cazicthule|542|32631
cazicthule|543|32632
cazicthule|544|32633
cazicthule|545|32634
cazicthule|546|32635
cazicthule|547|32636
cazicthule|548|32637
cazicthule|549|32638
cazicthule|550|32639
cazicthule|551|32640
cazicthule|552|32641
cazicthule|553|32642
cazicthule|554|32643
cazicthule|555|32644
cazicthule|556|32645
cazicthule|557|32646
cazicthule|558|32647
cazicthule|559|32648
cazicthule|560|32649
cazicthule|561|32650
cazicthule|562|32651
crystal|49|32652
cazicthule|563|32653
cazicthule|564|32654
cazicthule|565|32655
cazicthule|566|32656
cazicthule|567|32657
cazicthule|568|32658
cazicthule|569|32659
cazicthule|570|32660
eastwastes|13|32661
crystal|50|32662
dreadlands|13|32663
crystal|51|32664
eastwastes|14|32665
cazicthule|571|32666
crystal|52|32667
crystal|53|32668
cazicthule|572|32669
crystal|54|32670
crystal|55|32671
eastwastes|15|32672
dreadlands|14|32673
eastwastes|16|32674
eastwastes|17|32675
eastwastes|18|32676
eastwastes|19|32677
eastwastes|20|32678
eastwastes|21|32679
dreadlands|15|32680
dreadlands|16|32681
dreadlands|17|32682
dreadlands|18|32683
dreadlands|19|32684
dreadlands|20|32685
dreadlands|21|32686
eastwastes|22|32687
dreadlands|22|32688
dreadlands|23|32689
erudnext|0|32690
eastwastes|23|32691
erudnext|1|32692
erudnext|2|32693
erudnext|3|32694
emeraldjungle|0|32695
erudnext|4|32696
eastwastes|24|32697
erudnext|5|32698
erudnint|0|32699
erudnext|6|32700
erudnext|7|32701
erudnint|1|32702
erudnext|8|32703
erudnint|2|32704
erudnext|9|32705
erudnint|3|32706
erudnext|10|32707
erudnint|4|32708
erudnext|11|32709
erudnint|5|32710
erudnint|6|32711
erudnint|7|32712
erudnint|8|32713
erudnext|12|32714
erudnext|13|32715
erudnext|14|32716
erudnint|9|32717
erudnint|10|32718
erudnint|11|32719
erudnint|12|32720
erudnint|13|32721
erudnint|14|32722
erudnext|15|32723
erudnint|15|32724
erudnint|16|32725
erudnint|17|32726
erudnint|18|32727
eastwastes|25|32728
erudnint|19|32729
erudnint|20|32730
erudnext|16|32731
eastwastes|26|32732
erudnint|21|32733
eastwastes|27|32734
erudnint|22|32735
erudnext|17|32736
eastwastes|28|32737
eastwastes|29|32738
eastwastes|30|32739
erudsxing|0|32740
eastwastes|31|32741
erudnext|18|32742
erudsxing|1|32743
erudnext|19|32744
eastwastes|32|32745
eastwastes|33|32746
erudsxing|2|32747
erudnext|20|32748
eastwastes|34|32749
erudnext|21|32750
erudsxing|3|32751
eastwastes|35|32752
erudsxing|4|32753
erudsxing|5|32754
erudsxing|6|32755
erudsxing|7|32756
erudsxing|8|32757
erudsxing|9|32758
erudsxing|10|32759
erudsxing|11|32760
erudsxing|12|32761
erudsxing|13|32762
erudsxing|14|32763
erudsxing|15|32764
erudsxing|16|32765
erudsxing|17|32766
erudsxing|18|32767
erudsxing|19|32768
erudsxing|20|32769
erudsxing|21|32770
erudsxing|22|32771
erudsxing|23|32772
erudsxing|24|32773
erudsxing|25|32774
emeraldjungle|1|32775
erudsxing|26|32776
erudsxing|27|32777
erudsxing|28|32778
erudsxing|29|32779
erudsxing|30|32780
erudsxing|31|32781
erudsxing|32|32782
erudsxing|33|32783
erudsxing|34|32784
erudsxing|35|32785
erudsxing|36|32786
erudsxing|37|32787
erudsxing|38|32788
erudsxing|39|32789
erudsxing|40|32790
erudsxing|41|32791
erudsxing|42|32792
erudsxing|43|32793
erudsxing|44|32794
erudsxing|45|32795
erudsxing|46|32796
erudsxing|47|32797
erudsxing|48|32798
erudsxing|49|32799
erudsxing|50|32800
erudsxing|51|32801
erudsxing|52|32802
erudsxing|53|32803
erudsxing|54|32804
erudsxing|55|32805
erudsxing|56|32806
erudsxing|57|32807
erudsxing|58|32808
erudsxing|59|32809
erudsxing|60|32810
erudsxing|61|32811
erudsxing|62|32812
erudsxing|63|32813
erudsxing|64|32814
erudsxing|65|32815
erudsxing|66|32816
erudsxing|67|32817
erudsxing|68|32818
erudsxing|69|32819
erudsxing|70|32820
erudsxing|71|32821
erudsxing|72|32822
erudsxing|73|32823
erudsxing|74|32824
erudsxing|75|32825
erudsxing|76|32826
erudsxing|77|32827
erudsxing|78|32828
erudsxing|79|32829
erudsxing|80|32830
erudsxing|81|32831
erudsxing|82|32832
emeraldjungle|2|32833
fearplane|0|32834
emeraldjungle|3|32835
fearplane|1|32836
everfrost|0|32837
fearplane|2|32838
emeraldjungle|4|32839
everfrost|1|32840
fearplane|3|32841
fearplane|4|32842
everfrost|2|32843
fearplane|5|32844
everfrost|3|32845
emeraldjungle|5|32846
everfrost|4|32847
feerrott|0|32848
felwithea|0|32849
felwithea|1|32850
feerrott|1|32851
felwithea|2|32852
felwithea|3|32853
fearplane|6|32854
felwithea|4|32855
feerrott|2|32856
emeraldjungle|6|32857
felwithea|5|32858
felwithea|6|32859
feerrott|3|32860
felwithea|7|32861
everfrost|5|32862
felwithea|8|32863
felwithea|9|32864
felwithea|10|32865
felwithea|11|32866
felwithea|12|32867
felwithea|13|32868
feerrott|4|32869
felwithea|14|32870
emeraldjungle|7|32871
feerrott|5|32872
feerrott|6|32873
feerrott|7|32874
feerrott|8|32875
felwithea|15|32876
fearplane|7|32877
feerrott|9|32878
emeraldjungle|8|32879
everfrost|6|32880
feerrott|10|32881
felwithea|16|32882
felwitheb|0|32883
emeraldjungle|9|32884
felwitheb|1|32885
felwitheb|2|32886
everfrost|7|32887
emeraldjungle|10|32888
felwitheb|3|32889
felwitheb|4|32890
feerrott|11|32891
everfrost|8|32892
emeraldjungle|11|32893
everfrost|9|32894
emeraldjungle|12|32895
feerrott|12|32896
everfrost|10|32897
emeraldjungle|13|32898
fieldofbone|0|32899
everfrost|11|32900
freporte|0|32901
fieldofbone|1|32902
freporte|1|32903
emeraldjungle|14|32904
feerrott|13|32905
freporte|2|32906
firiona|0|32907
fieldofbone|2|32908
everfrost|12|32909
firiona|1|32910
firiona|2|32911
firiona|3|32912
firiona|4|32913
freporte|3|32914
firiona|5|32915
firiona|6|32916
firiona|7|32917
firiona|8|32918
firiona|9|32919
firiona|10|32920
emeraldjungle|15|32921
freporte|4|32922
firiona|11|32923
firiona|12|32924
feerrott|14|32925
firiona|13|32926
freporte|5|32927
firiona|14|32928
freporte|6|32929
freporte|7|32930
firiona|15|32931
freporte|8|32932
fieldofbone|3|32933
freporte|9|32934
freporte|10|32935
freporte|11|32936
freporte|12|32937
freporte|13|32938
freporte|14|32939
fieldofbone|4|32940
freporte|15|32941
firiona|16|32942
feerrott|15|32943
freporte|16|32944
everfrost|13|32945
everfrost|14|32946
freporte|17|32947
freporte|18|32948
freporte|19|32949
firiona|17|32950
everfrost|15|32951
emeraldjungle|16|32952
freporte|20|32953
freporte|21|32954
everfrost|16|32955
everfrost|17|32956
freporte|22|32957
firiona|18|32958
everfrost|18|32959
everfrost|19|32960
freporte|23|32961
firiona|19|32962
freporte|24|32963
fieldofbone|5|32964
firiona|20|32965
freporte|25|32966
firiona|21|32967
freporte|26|32968
emeraldjungle|17|32969
firiona|22|32970
fieldofbone|6|32971
feerrott|16|32972
firiona|23|32973
freporte|27|32974
firiona|24|32975
emeraldjungle|18|32976
freporte|28|32977
firiona|25|32978
freporte|29|32979
firiona|26|32980
freporte|30|32981
firiona|27|32982
freporte|31|32983
firiona|28|32984
emeraldjungle|19|32985
feerrott|17|32986
firiona|29|32987
freporte|32|32988
feerrott|18|32989
feerrott|19|32990
freporte|33|32991
fieldofbone|7|32992
firiona|30|32993
fieldofbone|8|32994
emeraldjungle|20|32995
freporte|34|32996
firiona|31|32997
freporte|35|32998
freporte|36|32999
freporte|37|33000
firiona|32|33001
freporte|38|33002
freporte|39|33003
freporte|40|33004
freporte|41|33005
freporte|42|33006
freporte|43|33007
firiona|33|33008
freporte|44|33009
freporte|45|33010
freporte|46|33011
freporte|47|33012
freporte|48|33013
freporte|49|33014
freporte|50|33015
freporte|51|33016
freporte|52|33017
freporte|53|33018
freporte|54|33019
freporte|55|33020
freporte|56|33021
freporte|57|33022
freporte|58|33023
freporte|59|33024
freporte|60|33025
freporte|61|33026
firiona|34|33027
freporte|62|33028
freporte|63|33029
freporte|64|33030
freporte|65|33031
freporte|66|33032
freporte|67|33033
freporte|68|33034
freporte|69|33035
freporte|70|33036
freporte|71|33037
freporte|72|33038
firiona|35|33039
freporte|73|33040
freporte|74|33041
freporte|75|33042
freporte|76|33043
freporte|77|33044
firiona|36|33045
freporte|78|33046
freportn|0|33047
emeraldjungle|21|33048
freportn|1|33049
fieldofbone|9|33050
freporte|79|33051
firiona|37|33052
freporte|80|33053
freporte|81|33054
freporte|82|33055
freporte|83|33056
freporte|84|33057
freporte|85|33058
freporte|86|33059
freporte|87|33060
freporte|88|33061
freporte|89|33062
freporte|90|33063
freporte|91|33064
freporte|92|33065
freporte|93|33066
freportn|2|33067
freporte|94|33068
freporte|95|33069
freporte|96|33070
freportn|3|33071
firiona|38|33072
freportn|4|33073
firiona|39|33074
fieldofbone|10|33075
freportn|5|33076
freporte|97|33077
emeraldjungle|22|33078
freportn|6|33079
firiona|40|33080
firiona|41|33081
freporte|98|33082
freporte|99|33083
freporte|100|33084
freporte|101|33085
freporte|102|33086
freporte|103|33087
freporte|104|33088
freporte|105|33089
freporte|106|33090
freporte|107|33091
freporte|108|33092
freporte|109|33093
freporte|110|33094
freporte|111|33095
freporte|112|33096
freporte|113|33097
freporte|114|33098
firiona|42|33099
freporte|115|33100
freporte|116|33101
freporte|117|33102
freporte|118|33103
freporte|119|33104
freporte|120|33105
freporte|121|33106
freporte|122|33107
freporte|123|33108
freporte|124|33109
freporte|125|33110
freporte|126|33111
emeraldjungle|23|33112
freporte|127|33113
freporte|128|33114
freporte|129|33115
freporte|130|33116
freporte|131|33117
freporte|132|33118
freporte|133|33119
freporte|134|33120
freporte|135|33121
freporte|136|33122
freporte|137|33123
freporte|138|33124
freporte|139|33125
freporte|140|33126
freporte|141|33127
freporte|142|33128
freporte|143|33129
freporte|144|33130
freporte|145|33131
freporte|146|33132
freporte|147|33133
freporte|148|33134
freporte|149|33135
freporte|150|33136
freporte|151|33137
freporte|152|33138
freporte|153|33139
freporte|154|33140
freporte|155|33141
freporte|156|33142
freporte|157|33143
freporte|158|33144
freporte|159|33145
freporte|160|33146
freporte|161|33147
freporte|162|33148
freporte|163|33149
freporte|164|33150
firiona|43|33151
freporte|165|33152
freporte|166|33153
fieldofbone|11|33154
freportn|7|33155
freporte|167|33156
firiona|44|33157
freporte|168|33158
fieldofbone|12|33159
firiona|45|33160
freportn|8|33161
freportw|0|33162
freportn|9|33163
freporte|169|33164
emeraldjungle|24|33165
freportn|10|33166
firiona|46|33167
freportn|11|33168
freportn|12|33169
freportn|13|33170
firiona|47|33171
freportw|1|33172
freportn|14|33173
freportn|15|33174
freporte|170|33175
freportn|16|33176
freportn|17|33177
freportn|18|33178
freportn|19|33179
firiona|48|33180
emeraldjungle|25|33181
freportw|2|33182
freportn|20|33183
freportn|21|33184
freportw|3|33185
firiona|49|33186
freportn|22|33187
freportn|23|33188
freportn|24|33189
freportn|25|33190
freportn|26|33191
freportn|27|33192
freportn|28|33193
freportn|29|33194
freportn|30|33195
freportn|31|33196
freportn|32|33197
freportn|33|33198
freportn|34|33199
freporte|171|33200
freporte|172|33201
freporte|173|33202
fieldofbone|13|33203
firiona|50|33204
freportn|35|33205
freportn|36|33206
freportw|4|33207
emeraldjungle|26|33208
fieldofbone|14|33209
fieldofbone|15|33210
fieldofbone|16|33211
freportn|37|33212
freportn|38|33213
freportn|39|33214
freportw|5|33215
fieldofbone|17|33216
firiona|51|33217
fieldofbone|18|33218
freportw|6|33219
freporte|174|33220
freportn|40|33221
emeraldjungle|27|33222
freportw|7|33223
freporte|175|33224
firiona|52|33225
freporte|176|33226
freportw|8|33227
freportn|41|33228
freportn|42|33229
freportn|43|33230
freportw|9|33231
freportn|44|33232
firiona|53|33233
freportw|10|33234
freportn|45|33235
freportn|46|33236
freportn|47|33237
freportn|48|33238
emeraldjungle|28|33239
freportn|49|33240
freportn|50|33241
freportn|51|33242
freportn|52|33243
freportn|53|33244
freportw|11|33245
freportn|54|33246
freportn|55|33247
firiona|54|33248
freportn|56|33249
freportw|12|33250
freportn|57|33251
freportn|58|33252
firiona|55|33253
freportn|59|33254
freportn|60|33255
freportn|61|33256
freportn|62|33257
freportn|63|33258
freportn|64|33259
freportn|65|33260
freportn|66|33261
freportn|67|33262
freportn|68|33263
freportn|69|33264
freportn|70|33265
freportn|71|33266
freportn|72|33267
freportn|73|33268
freportw|13|33269
emeraldjungle|29|33270
freportn|74|33271
freportn|75|33272
freportn|76|33273
freportn|77|33274
freportn|78|33275
freportn|79|33276
freportn|80|33277
freportn|81|33278
freportn|82|33279
freportn|83|33280
freportn|84|33281
firiona|56|33282
freportn|85|33283
freportn|86|33284
freportn|87|33285
freportn|88|33286
freportn|89|33287
freportn|90|33288
freportn|91|33289
freportn|92|33290
freportn|93|33291
freportn|94|33292
freportn|95|33293
freportn|96|33294
freportn|97|33295
freportn|98|33296
freportn|99|33297
freportn|100|33298
freportw|14|33299
freportw|15|33300
emeraldjungle|30|33301
freportw|16|33302
freportw|17|33303
firiona|57|33304
firiona|58|33305
freportn|101|33306
freportn|102|33307
firiona|59|33308
freportw|18|33309
emeraldjungle|31|33310
freportw|19|33311
freportw|20|33312
freportw|21|33313
firiona|60|33314
freportw|22|33315
freportw|23|33316
freportw|24|33317
firiona|61|33318
freportw|25|33319
freportw|26|33320
freportw|27|33321
freportw|28|33322
firiona|62|33323
freportw|29|33324
freportw|30|33325
freportw|31|33326
firiona|63|33327
freportw|32|33328
emeraldjungle|32|33329
freportw|33|33330
freportw|34|33331
freportw|35|33332
freportw|36|33333
freportw|37|33334
freportw|38|33335
firiona|64|33336
freportw|39|33337
freportw|40|33338
freportw|41|33339
freportw|42|33340
freportw|43|33341
freportw|44|33342
freportw|45|33343
freportw|46|33344
freportw|47|33345
emeraldjungle|33|33346
freportw|48|33347
firiona|65|33348
firiona|66|33349
freportw|49|33350
firiona|67|33351
firiona|68|33352
emeraldjungle|34|33353
firiona|69|33354
firiona|70|33355
freportw|50|33356
firiona|71|33357
freportw|51|33358
freportw|52|33359
freportw|53|33360
firiona|72|33361
freportw|54|33362
frozenshadow|0|33363
emeraldjungle|35|33364
firiona|73|33365
firiona|74|33366
firiona|75|33367
frozenshadow|1|33368
firiona|76|33369
emeraldjungle|36|33370
frozenshadow|2|33371
firiona|77|33372
gfaydark|0|33373
firiona|78|33374
frozenshadow|3|33375
firiona|79|33376
frontiermtns|0|33377
frozenshadow|4|33378
firiona|80|33379
emeraldjungle|37|33380
frozenshadow|5|33381
firiona|81|33382
gfaydark|1|33383
frozenshadow|6|33384
firiona|82|33385
frozenshadow|7|33386
firiona|83|33387
emeraldjungle|38|33388
frozenshadow|8|33389
frontiermtns|1|33390
frozenshadow|9|33391
gfaydark|2|33392
firiona|84|33393
frozenshadow|10|33394
firiona|85|33395
frozenshadow|11|33396
frozenshadow|12|33397
frozenshadow|13|33398
gfaydark|3|33399
firiona|86|33400
gfaydark|4|33401
firiona|87|33402
frozenshadow|14|33403
frozenshadow|15|33404
frontiermtns|2|33405
firiona|88|33406
greatdivide|0|33407
frozenshadow|16|33408
emeraldjungle|39|33409
frozenshadow|17|33410
frozenshadow|18|33411
frozenshadow|19|33412
frozenshadow|20|33413
gfaydark|5|33414
firiona|89|33415
greatdivide|1|33416
frozenshadow|21|33417
greatdivide|2|33418
emeraldjungle|40|33419
frozenshadow|22|33420
firiona|90|33421
frozenshadow|23|33422
frontiermtns|3|33423
frozenshadow|24|33424
gfaydark|6|33425
greatdivide|3|33426
gfaydark|7|33427
firiona|91|33428
greatdivide|4|33429
gfaydark|8|33430
emeraldjungle|41|33431
gfaydark|9|33432
greatdivide|5|33433
frontiermtns|4|33434
greatdivide|6|33435
gfaydark|10|33436
greatdivide|7|33437
emeraldjungle|42|33438
greatdivide|8|33439
frontiermtns|5|33440
greatdivide|9|33441
emeraldjungle|43|33442
gfaydark|11|33443
greatdivide|10|33444
frontiermtns|6|33445
greatdivide|11|33446
emeraldjungle|44|33447
firiona|92|33448
firiona|93|33449
firiona|94|33450
greatdivide|12|33451
greatdivide|13|33452
greatdivide|14|33453
firiona|95|33454
gfaydark|12|33455
greatdivide|15|33456
frontiermtns|7|33457
greatdivide|16|33458
greatdivide|17|33459
firiona|96|33460
firiona|97|33461
firiona|98|33462
greatdivide|18|33463
emeraldjungle|45|33464
greatdivide|19|33465
grobb|0|33466
grobb|1|33467
grobb|2|33468
grobb|3|33469
greatdivide|20|33470
grobb|4|33471
grobb|5|33472
grobb|6|33473
gfaydark|13|33474
grobb|7|33475
greatdivide|21|33476
frontiermtns|8|33477
greatdivide|22|33478
greatdivide|23|33479
grobb|8|33480
firiona|99|33481
emeraldjungle|46|33482
greatdivide|24|33483
greatdivide|25|33484
greatdivide|26|33485
frontiermtns|9|33486
gfaydark|14|33487
gfaydark|15|33488
gfaydark|16|33489
gfaydark|17|33490
greatdivide|27|33491
gfaydark|18|33492
grobb|9|33493
emeraldjungle|47|33494
gfaydark|19|33495
greatdivide|28|33496
grobb|10|33497
gfaydark|20|33498
emeraldjungle|48|33499
gfaydark|21|33500
emeraldjungle|49|33501
gfaydark|22|33502
gfaydark|23|33503
gfaydark|24|33504
emeraldjungle|50|33505
gfaydark|25|33506
greatdivide|29|33507
greatdivide|30|33508
frontiermtns|10|33509
greatdivide|31|33510
greatdivide|32|33511
firiona|100|33512
greatdivide|33|33513
greatdivide|34|33514
greatdivide|35|33515
frontiermtns|11|33516
greatdivide|36|33517
greatdivide|37|33518
firiona|101|33519
greatdivide|38|33520
frontiermtns|12|33521
greatdivide|39|33522
greatdivide|40|33523
greatdivide|41|33524
greatdivide|42|33525
greatdivide|43|33526
greatdivide|44|33527
greatdivide|45|33528
firiona|102|33529
greatdivide|46|33530
frontiermtns|13|33531
greatdivide|47|33532
gukbottom|0|33533
greatdivide|48|33534
gukbottom|1|33535
gukbottom|2|33536
greatdivide|49|33537
gukbottom|3|33538
growthplane|0|33539
greatdivide|50|33540
gukbottom|4|33541
gukbottom|5|33542
frontiermtns|14|33543
gukbottom|6|33544
greatdivide|51|33545
growthplane|1|33546
gukbottom|7|33547
growthplane|2|33548
gukbottom|8|33549
greatdivide|52|33550
gukbottom|9|33551
growthplane|3|33552
firiona|103|33553
gukbottom|10|33554
greatdivide|53|33555
gukbottom|11|33556
growthplane|4|33557
gukbottom|12|33558
greatdivide|54|33559
gukbottom|13|33560
firiona|104|33561
gukbottom|14|33562
growthplane|5|33563
greatdivide|55|33564
frontiermtns|15|33565
gukbottom|15|33566
growthplane|6|33567
gukbottom|16|33568
gukbottom|17|33569
greatdivide|56|33570
firiona|105|33571
growthplane|7|33572
gukbottom|18|33573
frontiermtns|16|33574
gukbottom|19|33575
growthplane|8|33576
greatdivide|57|33577
gukbottom|20|33578
growthplane|9|33579
gukbottom|21|33580
greatdivide|58|33581
gukbottom|22|33582
growthplane|10|33583
frontiermtns|17|33584
gukbottom|23|33585
firiona|106|33586
growthplane|11|33587
gukbottom|24|33588
growthplane|12|33589
gukbottom|25|33590
greatdivide|59|33591
growthplane|13|33592
gukbottom|26|33593
gukbottom|27|33594
firiona|107|33595
growthplane|14|33596
greatdivide|60|33597
gukbottom|28|33598
gukbottom|29|33599
growthplane|15|33600
gukbottom|30|33601
greatdivide|61|33602
gukbottom|31|33603
gukbottom|32|33604
gukbottom|33|33605
gukbottom|34|33606
gukbottom|35|33607
gukbottom|36|33608
gukbottom|37|33609
gukbottom|38|33610
gukbottom|39|33611
gukbottom|40|33612
gukbottom|41|33613
gukbottom|42|33614
gukbottom|43|33615
gukbottom|44|33616
gukbottom|45|33617
gukbottom|46|33618
gukbottom|47|33619
gukbottom|48|33620
gukbottom|49|33621
gukbottom|50|33622
gukbottom|51|33623
gukbottom|52|33624
gukbottom|53|33625
gukbottom|54|33626
gukbottom|55|33627
gukbottom|56|33628
gukbottom|57|33629
growthplane|16|33630
guktop|0|33631
gukbottom|58|33632
gukbottom|59|33633
gukbottom|60|33634
gukbottom|61|33635
gukbottom|62|33636
gukbottom|63|33637
gukbottom|64|33638
gukbottom|65|33639
gukbottom|66|33640
gukbottom|67|33641
gukbottom|68|33642
gukbottom|69|33643
gukbottom|70|33644
gukbottom|71|33645
gukbottom|72|33646
gukbottom|73|33647
gukbottom|74|33648
gukbottom|75|33649
gukbottom|76|33650
gukbottom|77|33651
gukbottom|78|33652
gukbottom|79|33653
gukbottom|80|33654
gukbottom|81|33655
gukbottom|82|33656
gukbottom|83|33657
gukbottom|84|33658
gukbottom|85|33659
gukbottom|86|33660
gukbottom|87|33661
gukbottom|88|33662
gukbottom|89|33663
gukbottom|90|33664
gukbottom|91|33665
gukbottom|92|33666
gukbottom|93|33667
gukbottom|94|33668
gukbottom|95|33669
gukbottom|96|33670
gukbottom|97|33671
gukbottom|98|33672
gukbottom|99|33673
gukbottom|100|33674
gukbottom|101|33675
gukbottom|102|33676
gukbottom|103|33677
gukbottom|104|33678
gukbottom|105|33679
gukbottom|106|33680
gukbottom|107|33681
gukbottom|108|33682
gukbottom|109|33683
gukbottom|110|33684
gukbottom|111|33685
gukbottom|112|33686
gukbottom|113|33687
gukbottom|114|33688
gukbottom|115|33689
gukbottom|116|33690
gukbottom|117|33691
gukbottom|118|33692
gukbottom|119|33693
gukbottom|120|33694
gukbottom|121|33695
gukbottom|122|33696
gukbottom|123|33697
gukbottom|124|33698
gukbottom|125|33699
gukbottom|126|33700
gukbottom|127|33701
gukbottom|128|33702
gukbottom|129|33703
gukbottom|130|33704
gukbottom|131|33705
gukbottom|132|33706
gukbottom|133|33707
gukbottom|134|33708
gukbottom|135|33709
gukbottom|136|33710
gukbottom|137|33711
guktop|1|33712
gukbottom|138|33713
gukbottom|139|33714
gukbottom|140|33715
gukbottom|141|33716
gukbottom|142|33717
gukbottom|143|33718
gukbottom|144|33719
gukbottom|145|33720
greatdivide|62|33721
guktop|2|33722
gukbottom|146|33723
gukbottom|147|33724
gukbottom|148|33725
gukbottom|149|33726
gukbottom|150|33727
gukbottom|151|33728
gukbottom|152|33729
gukbottom|153|33730
gukbottom|154|33731
gukbottom|155|33732
gukbottom|156|33733
gukbottom|157|33734
gukbottom|158|33735
gukbottom|159|33736
gukbottom|160|33737
gukbottom|161|33738
gukbottom|162|33739
gukbottom|163|33740
gukbottom|164|33741
gukbottom|165|33742
gukbottom|166|33743
gukbottom|167|33744
gukbottom|168|33745
gukbottom|169|33746
gukbottom|170|33747
gukbottom|171|33748
gukbottom|172|33749
gukbottom|173|33750
gukbottom|174|33751
gukbottom|175|33752
growthplane|17|33753
gukbottom|176|33754
gukbottom|177|33755
gukbottom|178|33756
gukbottom|179|33757
gukbottom|180|33758
gukbottom|181|33759
gukbottom|182|33760
gukbottom|183|33761
gukbottom|184|33762
gukbottom|185|33763
gukbottom|186|33764
gukbottom|187|33765
gukbottom|188|33766
gukbottom|189|33767
gukbottom|190|33768
gukbottom|191|33769
gukbottom|192|33770
gukbottom|193|33771
gukbottom|194|33772
gukbottom|195|33773
gukbottom|196|33774
gukbottom|197|33775
gukbottom|198|33776
gukbottom|199|33777
gukbottom|200|33778
gukbottom|201|33779
gukbottom|202|33780
gukbottom|203|33781
gukbottom|204|33782
gukbottom|205|33783
gukbottom|206|33784
gukbottom|207|33785
gukbottom|208|33786
gukbottom|209|33787
gukbottom|210|33788
gukbottom|211|33789
gukbottom|212|33790
gukbottom|213|33791
gukbottom|214|33792
gukbottom|215|33793
gukbottom|216|33794
gukbottom|217|33795
gukbottom|218|33796
gukbottom|219|33797
gukbottom|220|33798
gukbottom|221|33799
gukbottom|222|33800
guktop|3|33801
greatdivide|63|33802
growthplane|18|33803
gukbottom|223|33804
gukbottom|224|33805
gukbottom|225|33806
gukbottom|226|33807
gukbottom|227|33808
gukbottom|228|33809
gukbottom|229|33810
gukbottom|230|33811
gukbottom|231|33812
gukbottom|232|33813
gukbottom|233|33814
gukbottom|234|33815
gukbottom|235|33816
gukbottom|236|33817
gukbottom|237|33818
gukbottom|238|33819
gukbottom|239|33820
gukbottom|240|33821
gukbottom|241|33822
gukbottom|242|33823
gukbottom|243|33824
gukbottom|244|33825
gukbottom|245|33826
gukbottom|246|33827
guktop|4|33828
gukbottom|247|33829
gukbottom|248|33830
gukbottom|249|33831
gukbottom|250|33832
gukbottom|251|33833
gukbottom|252|33834
gukbottom|253|33835
gukbottom|254|33836
gukbottom|255|33837
gukbottom|256|33838
gukbottom|257|33839
gukbottom|258|33840
gukbottom|259|33841
gukbottom|260|33842
gukbottom|261|33843
gukbottom|262|33844
gukbottom|263|33845
gukbottom|264|33846
gukbottom|265|33847
gukbottom|266|33848
gukbottom|267|33849
gukbottom|268|33850
gukbottom|269|33851
gukbottom|270|33852
gukbottom|271|33853
gukbottom|272|33854
gukbottom|273|33855
gukbottom|274|33856
gukbottom|275|33857
gukbottom|276|33858
gukbottom|277|33859
gukbottom|278|33860
gukbottom|279|33861
gukbottom|280|33862
gukbottom|281|33863
gukbottom|282|33864
gukbottom|283|33865
gukbottom|284|33866
gukbottom|285|33867
gukbottom|286|33868
gukbottom|287|33869
gukbottom|288|33870
gukbottom|289|33871
gukbottom|290|33872
gukbottom|291|33873
gukbottom|292|33874
gukbottom|293|33875
gukbottom|294|33876
guktop|5|33877
guktop|6|33878
guktop|7|33879
guktop|8|33880
guktop|9|33881
guktop|10|33882
frontiermtns|18|33883
guktop|11|33884
guktop|12|33885
guktop|13|33886
guktop|14|33887
guktop|15|33888
guktop|16|33889
growthplane|19|33890
guktop|17|33891
guktop|18|33892
guktop|19|33893
guktop|20|33894
guktop|21|33895
guktop|22|33896
guktop|23|33897
guktop|24|33898
guktop|25|33899
guktop|26|33900
guktop|27|33901
guktop|28|33902
guktop|29|33903
guktop|30|33904
guktop|31|33905
guktop|32|33906
guktop|33|33907
guktop|34|33908
guktop|35|33909
guktop|36|33910
guktop|37|33911
guktop|38|33912
guktop|39|33913
guktop|40|33914
guktop|41|33915
greatdivide|64|33916
guktop|42|33917
guktop|43|33918
guktop|44|33919
guktop|45|33920
gukbottom|295|33921
guktop|46|33922
growthplane|20|33923
guktop|47|33924
guktop|48|33925
guktop|49|33926
guktop|50|33927
guktop|51|33928
guktop|52|33929
guktop|53|33930
guktop|54|33931
guktop|55|33932
guktop|56|33933
guktop|57|33934
guktop|58|33935
guktop|59|33936
guktop|60|33937
guktop|61|33938
guktop|62|33939
guktop|63|33940
guktop|64|33941
guktop|65|33942
greatdivide|65|33943
guktop|66|33944
guktop|67|33945
guktop|68|33946
guktop|69|33947
guktop|70|33948
guktop|71|33949
guktop|72|33950
guktop|73|33951
guktop|74|33952
guktop|75|33953
guktop|76|33954
guktop|77|33955
guktop|78|33956
guktop|79|33957
guktop|80|33958
guktop|81|33959
guktop|82|33960
guktop|83|33961
guktop|84|33962
guktop|85|33963
guktop|86|33964
guktop|87|33965
growthplane|21|33966
guktop|88|33967
greatdivide|66|33968
growthplane|22|33969
guktop|89|33970
growthplane|23|33971
greatdivide|67|33972
growthplane|24|33973
guktop|90|33974
guktop|91|33975
growthplane|25|33976
greatdivide|68|33977
guktop|92|33978
frontiermtns|19|33979
guktop|93|33980
gukbottom|296|33981
guktop|94|33982
firiona|108|33983
growthplane|26|33984
guktop|95|33985
greatdivide|69|33986
guktop|96|33987
guktop|97|33988
guktop|98|33989
growthplane|27|33990
firiona|109|33991
guktop|99|33992
greatdivide|70|33993
guktop|100|33994
frontiermtns|20|33995
guktop|101|33996
growthplane|28|33997
guktop|102|33998
guktop|103|33999
greatdivide|71|34000
guktop|104|34001
