name|text
CREShamanNote|Welcome to Crescent Reach! This city is the home of the drakkin, a race created by dragons to protect the bloodline of Veeshan. Crescent Reach and the Six - the dragon progenitors - welcome all who fight for their cause under the banner of the Circle of the Crystalwing. Shaman arts are not practiced by drakkin, but neutral emissaries of the shamans, the Spirit Watchers, are here. If you join the Spirit Watchers, then you take on the task of supporting the drakkin and representing shaman everywhere. Become one of the Spirit Watchers. Take this note to Spiritwatcher Ahnkaul in the Masters of the Reach house in the Dragon's Grove.
CRESKNote|Welcome to Crescent Reach, home to the drakkin, a race created by dragons to protect the bloodline of Veeshan. Crescent Reach and the Six -- the dragon progenitors -- welcome all who fight for their cause under the banner of the Circle of the Crystalwing. The shadowknights, children of the black dragon Draton'ra and red dragon Atathus, serve Veeshan through the dark arts and form the guild called the Blacktalon Knights. Join those like you today! Take this note to Blacktalon Teel'qa who is in the Masters of the Reach house in the Dragon's Grove.
CREWarriorNote|Welcome to Crescent Reach! This city is the home of the drakkin, a race created by dragons to protect the future and lineage of Veeshan's bloodline. Crescent Reach and the Six -- the dragon progenitors -- welcome all who fight for their cause under the banner of the Circle of the Crystalwing. The Scaleguard, our finest warriors, serve to protect us with their might and operate the barracks on the first level of the city. By order of the Council of the Six -- our day-to-day rulers -- anyone may use the barracks for training and rest. Enlist today! Take this note to Commander Menaulus who is in the Masters of the Reach house in the Dragon's Grove.
CREWizardNote|Welcome to Crescent Reach! This city is the home of the drakkin, a race created by dragons to protect the bloodline of Veeshan. Crescent Reach and the Six - the dragon progenitors - welcome all who fight for their cause under the banner of the Circle of the Crystalwing. Wizards of Crescent Reach are fearsome indeed with their command of the arcane. The Arcane Alliance is the name of the academy of wizards in Crescent Reach who study and practice destructive magic arts. Join the Arcane Alliance today! Take this note to Firetongue Ethantis at the Masters of the Reach house in the Dragon's Grove.
CrusaderQuarg1|Crusader Quarg.                                 Assist this young mystic with the retrieval of the skulls.
CSBNoteDWF1|Haldin, me ol' partner.  If yer getting a note like this ye know what it means.
CSBNoteDWF2|I've had enough o' this 'field research' Kalameky.  I'm quittin' and ye can take yer low wage pay and do what ye know what to do with it.
CSBNoteELF1|Brother.. Nildar.. I live still.. I will be home soon.
CSBNoteELF2|Sister Iludarae, Long have I been held here in this stinking rothole of a camp.  If you hold this note then know that I will soon be home.
CSBNoteHIE1|Dear Settine.  Your inability or reluctance to leave your post in order to even attempt a rescue has shown me the quality of your heart.  Hopefully our eyes will never meet again.
CSBNoteHIE2|Mistress Niola - My research is close to, if not completely, finished.  Our suspicions may not have been as well founded as thought.  I will be back within our halls soon.
CSBSupply|Lord High Prophet,`   We wish to inform you of the alliance in our supply point.` We have made allies with the lovely fish.  They shall keep our point safe.`  We shall see you at the rock just before dawn.`     Artellin D'Nev
CTJourn1a|curiosities abound.  The looks like it will be the beginning of a great expedition!
CTJourn1b|looks as if we are going to make it in without detection.  We should be out by nigh
CTJourn1c|almost worked clear the maze, but the sound of drums drew us to the east. Perhaps
CTJourn1d|ening lead to a massive courtyard.  The ziggurat is being used again for
CTJourn1e|ill believe this! My eyes must lie       this is not possible    How could they le
CTJourn1f|none of the survived. I am lost. Take these notes an     the portals are green fire in my eyes! Where will we run?
CTJourn1g|is lost. I cannot think about what is about to happen to me.  I write this in the vain hope that you will sav
CTJourn1h|ooze is sinking into my skin          the feeling is pleasant.  Perhaps this is not so bad.
DaenorNote1|Greetings Neclo, I've sent one of our students to you for some training.  Thanks, your friend, Daenor Casthopur.
DeadContacts|Current Expeditionary Units The Dead Kizdean Gix  Commonlands Cytodl K'rish  High Hold Xxxxxxxxxxx - Freeport
deathsteel|Mt. Death Deathsteel Weapons                                                                     Strong steel we dig in mines under Mt. Death make strong weapons to slay enemies of Mt. Death Goblins.                                              To make weapons, visit tribe brewer with Grinning Goblin Brew and Mt. Death Mineral Salts. Brewer make Goblin Temper.                                   Two brick of Deathsteel Ore and Goblin Temper make Deathsteel Sheet.                     Deathsteel Sheet, Goblin Temper, and Molds for weapon in forge make strong weapon to smash enemies.
declrtoperrir|Dearest Brother,`       ``I send you this worshiper of our Lord of Hate as you have requested. I sense that his hate is strong and he will prove to be a valuable member of The Spires of Innoruuk.``             Sincerely,` Your sister, Priestess Zaxun
DecodedList|BAYLE LIST                     QEYNOS  DROSCO BERTOXXULOUS                        FREEPORT ALAYLE MILITIA                            NERIAK FININ INDIGO                                ERUDIN GELLIN MERCHANTS                            FELWITHE HELSHIN CHAMPIONS
deityidols|The Art of Idol Sculpting                An Idol of a Deity is a valuable instrument of worship that can grant the favor of the Gods. In order to craft such an Idol one will have to acquire an Idol Sketch, a Large Block of Magic Clay, a Vial of Clear Mana, Sculpting Tools, and an Imbued Gem of the appropriate Deity. Once the Idol is sculpted on the Pottery Wheel it must be glazed and fired in a Kiln. This process will require a High Quality Firing Sheet , the Unfired Idol, and Divine Crystalline Glaze. The Glaze is composed of White Lead, Iron Oxide, Permafrost Crystals, and Water.
DERobe1|House of Spurned Tailoring `Theory I``The House of the Spurned `has offered me the chance `to prove my ability in the `fields of Arcane.  Because `we Dark Elves are `proficient in each of the `four fields I have made `robes based on each.  First`I have drawn upon the power`of the lands that we `occupy, and created a dye `from this power.  This will`intensify the potency of `the robes:``Cursed Dye: Cursed Clover `of Viesar, Flask of Water``Ashen Dye: Ashweed, Flask `of Water``Next I apply the power of `the lands to the ribbons `that will be used to tie `the vestments together.  `Shears are essential due `the ribbons being woven `from metal threads:``Silvery Grey Ribbon: Cursed`Dye, Silver Ribbon, and `Hickory Handled Shears``Silvery Black Ribbon: Ashen`Dye, Silver Ribbon, and `Hickory Handled Shears``Golden Grey Ribbon: Cursed `Dye, Gold Ribbon, and `Hickory Handled Shears``Golden Black Ribbon: Ashen `Dye, Gold Ribbon, and Elm `Handled Shears``Platinum Grey Ribbon: `Cursed Dye, Platinum `Ribbon, and Elm Handled `Shears``Platinum Black Ribbon: `Ashen Dye, Platinum Ribbon,`and Elm Handled Shears``Studying each realm of `arcane, I have become quite`proficient.  Drawing upon `that knowledge I have `decided to copy down the `component of some of the `more powerful spells.  `Using a quill and piece of `parchment I have made the `following swatches:``Cyclone Runed Swatch: Rune `of Cyclone``Burnish Scried Swatch: `Words of Burnishing``Wing Etched Swatch: Wing of`Xegony``Ellipse Runed Swatch: Rune `of Ellipse``Argli Scribed Swatch: Page `73 Yaeth's Compendium `(Right Side)``Abrogation Scried Swatch: `Words of Abrogation
DERobe2|House of Spurned Tailoring `Theory II``Next a special needle is `needed that will not draw `power from the ribbons `being sewn into the robes. `Because it has the essence `of our lands added to it, `the power of the ribbon `remains intact:``Tier'Dal Needle: `Embroidering Needle, `Nektulos Essence``Now that the basic elements`have been created the robes`can be tailored.  Using the`Tier'Dal Needle, and Dark `Robe Pattern the following `robes can be created:``Robe of the Cyclone: `Cyclone Runed Swatch, `Silvery Grey Ribbon``Robe of Burnishing: Burnish`Scried Swatch, Silvery `Black Ribbon``Robe of Wings: Wing Etched `Swatch, Golden Grey Ribbon``Robe of Ellipse: Ellipse `Runed Swatch, Golden Black `Ribbon``Robe of Argli: Argli `Scribed Swatch, Platinum `Grey Ribbon``Robe of Abrogation: `Abrogation Scried Swatch, `Platinum Black Ribbon`
Des|"Desilyn,``Mother talked to me again`and urged me to help you`with your pastry business.  I`argued with her for hours`about how you've given my`prior recipes away.  I will`tell you a few to start with`only one stipulation.  If I`see these goods sold from any`other merchant you'll never`talk to me again.  It's time`you learned to control your`gossip.``The family secret ""Dough"" is`made from a Cup of Flour, a`snake egg, and a bottle of`milk.  You can make several`other recipes from it.``Now for the recipes you asked`about.  Winter Chocolate is`produced from two portions of`frosting and Brownie Parts.`Try to keep the brownie parts`fresh and away from the sun.`Once you have Winter Choc-`olate you can make Chocolate`Cookies by using a Clump of`Dough, Spices, Frosting, and`the Winter Chocolate.  If you `prefer you can also make`Chocolate Muffins by`combining a Clump of Dough,`Fruit, and Winter Chocolate.`Be sure to use a muffin Tin.``When selling goods always use`a sales pitch.  Since you're`just starting out try, ""Choc-`olate Cookies!  Made from`real Brownies!""``I wish you well on your`journey.``Remember, this is a family`secret tell anyone and you`won't tell me anything ever`again.``Love,``Fsel"
discord|"``""I do this not out of a`Sense of charity or`compassion, but because it`is what has been ordained`that I must do.  I write`because as a Child of Order,`you must know.""``-  The Seventh Hammer``Across the face of Norrath`and into the Age of Turmoil`were born the Children of`Order.  A force known`as ""Order"" has made itself`manifest.  These chosen few`have been set apart from the`rest of the creatures of`Norrath. While they can`recognize another of`their kind, regardless of`race, they seem oblivious`of their gift. They swear`loyalty to or disavow the`known gods.  They murder,`steal, love and champion the`causes of the Unchosen,`those who were not born of`Order.  But to each other`they are always civil for`each Child of Order is`under the ""protection"" of`this benevolent power.`While tempers may flare,`they seem unable to harm each`other except by mutual`consent. While it seems that`such ""protection"" would be a`boon, as with anything freely`given, this gift is not`appreciated until it is gone.`Agents of another being`known only as ""Discord"" have`arisen.  These Priests of`Discord seek to disrupt the`mysterious experiment of`Order.  They teach that true`power can only be gained by`embracing Discord.  Some are`listening to these seductive`words.  By rejecting Order,`they have lost their`protection and prey upon each`other with ruthless abandon.`It seems that Order can`never be expunged from them`completely. Even those who`have embraced Discord can`only harm those who have also`abandoned Order and are of`nearly equal power.  Beware`Child.  Once you have`embraced Discord you will be`in constant peril and you`will never again be protected`by Order.``My duty is complete and you`are now faced with a choice.`Remain in the embrace of`Order or join the forces of`Discord.  If you choose to`remain in the protection of`Order, you need do nothing`and I recommend that you`destroy this tome at once.`But, if you seek the way of`Discord, seek out a Priest`of Discord and offer him`this book.  With that act`your fate will be sealed."
discord01|*WARNING* Do this Quest, become PK!!!  Give this note to the local PRIEST OF DISCORD. This will make you PK (PvP, player vs player)!
discord02|*WARNING* Do this Quest, become NON-PK!!!  Give this note to the local PRIEST OF DISCORD. This will make you NON-PK (PvP, player vs player)!
DismalLeaflet|COME ONE COME ALL FEEL THE RAGE                  The united church of the Dismal Rage invites    you to an evening of release. Release all your    frustrations of life. If life has treated you     unfairly we want you to join us. We are all       misfits of society. Together we are strong and    can overcome all obstacles. No longer should you  follow the beliefs which have led to your     demise. Together we shall form a new belief, a    new order and a new way of life. Assemble all you misfits of rage. Unite. Our time has come.                                                                          10:00 at night                                    Freeport East                                     Bring this leaflet.                                          Pietro Zarn                                      The Dismal Rage
Don2Marais|dus Custodus                                               ty to protect those fro                                 reat Katta.  Without total                          ission, we may as well                                 and fall for the duty falls                          aintain order. Our fate                                     d us far and wide, this                                 cept with pride and in so                                ity of Katta Castellum                                  ese ideals we are true,                                   en we fall and no sooner.
Dralfling|Sulon,                                                   The time has come old friend. Present this man with the package. He will see to it that it is delivered to me. Thank you for all you have done.                                     Signed, K.R.
DrgnSlyr|VIP Dragon Raid                                                                                                             July 18, 2001 Earth Time                                                                                  The bearer of this idol has assisted the realm of Norrath in the slaying of a mighty dragon. May their courage be remembered in song evermore.
DrinnsInn|DRINN's INN - Rathe Mountains.  Established 3165. Sven and Philicia Drinn, Proprietors.   All Welcomed
DROPurgDi|"Day 32 of Zuqbert's Reign``It has been more then a month`since we took care of RokGus.`Everything went according to`Zuqbert's plan with the help`of the chef of course. But`that screeching loud mouth`Eeporp let the cat out of the`bag. You'd think with that`throat injury he received back`in the war he'd speak more`quietly but instead, we are`all subjected to his incessant`appalling screech!``So now RokGus's supporters`have fled to the mines and we`are at war. I've completed the`elevator and we should be able`to raid Nurga more easily. If`we can gain the favor of the`outsiders and turn them to our`side, we may finally be able`to end all traces of our`internal enemies and focus our`attentions outward.``I wish I didn't have to deal`with morons. That cursed`cleric Lerkuk and his almost`incomprehensible alliterative`speaking drives me crazy. He`never should have made that`enchanter angry. And then`there is Blerk our top`""knight"", whose ego is only`overshadowed by his extreme`state of constant`hyperactivity. Glugug has been`hit in the head too many times`make much sense. At least`he is a strong and loyal`toady.``Dagglit is a good lad. He is`young but he has potential.`If something should ever need`to happen to Zuqbert, I'd want`him on my side. I gave him`RokGus's eye as a souvenir`to garner his favor.``Durblik isn't too bad.`He has some sense and is`quite an accomplished wizard.`He claims to have found a way`to both entice outsiders to`help us in our fight as well`as to keep them coming back. I`respect his intelligence.``I also have a lot of respect`for Sugbuk. As our primary spy`in Nurga, his intelligence is`proving invaluable to us. Nuj`just plain frightens me and he`holds too much influence over`the grave robbers to trifle`with right now.``Well in any case, I'm set for`life it seems as long as`Zuqbert holds true to his word`to provide his inner circle`with lives of gluttonous`plenty and wealth. Seeing what`happened to RokGus, I think he`will do well to keep us happy."
druid01|Life.  Its heart lies deep in the woods and forests of Norrath. The heart of Jaggedpine must be preserved, or else all life shall wither and rot. Join the Jaggedpine Treefolk, not to save yourself, but to save the life of Norrath. Take this note to Te'Anara, the Master of the Woods, she will guide you on your new journey.
DruidResearch1|A Call to Nature, The `ability to research Druid `spells.`By Frieza Greenbaum`Volume I``The work of Wizards and `Druids has run in tandem `for some time. While it is `true that Druidism relies `upon a closer association `with Nature than does `Wizardry, the types of work`have long been similar in `practice. ``While working closely with `some of the great Wizard `masters as they compiled `their advanced teachings, I`discovered that by using `common elements of the `world around us, the `capability to research some`of these advanced Druid `spells does exist! It `brings me great pleasure to`be able to share this with `my contemporaries who `follow this discipline, as `their work is so closely `related to mine. Below are `the results of my study.  `It should be obvious to the`skilled researcher that a `Quill and Piece of `Parchment are needed for `each study.``Improved Superior `Camouflage: Rune of `Synergy, Page 61 Yaeth's `Compendium (Right Side)``Upheaval: Rune of `Amalgamation, Dew Clover``Circle of Winter: Rune of `Draught, Primordial `Substance``Everlasting Breath: Page 50`Yaeth's Compendium (left `Side), Sliver of Moonstone``Levitation: Page 70 Yaeth's`Compendium (Left Side), Dew`Clover``Circle of Summer: Rune of `Ellipse, Flake of Lodestone``Call of Karana: Mist of `Povar, Rune of Coalition``Spirit of Scale: Page 80 `Yaeth's Compendium (Left `Side), Dew Clover``Glamour of Tunare: Page 18 `Toharon's Memoir (Left `Side), Primordial Substance``Form of the Howler: Page `65 Yaeth's Compendium (Left`Side), Primordial Substance``Blizzard: Rune of Gale, `Runed Emblem``Remove Greater Curse: Words`of Apparition, Page 73 `Yaeth's Compendium (Right `Side)``Nature Walker's Behest: `Coin of Xev, Words of `Tenancy``Tunare's Request: Page 70 `Yaeth's Compendium (Left `Side), Etched Signet``Girdle of Karana: Coin of `Xev, Page 63 Yaeth's `Compendium (Right Side) ``Breath of Karana: Rune of `Alternation, Etched Signet,`Words of Abrogation`
DruidResearch2|A Call to Nature, The `ability to research Druid `spells.`By Frieza Greenbaum`Volume II``Wake of Karana: Page 72 `Yaeth's Compendium (Left `Side), Runed Emblem, Rune `of Divergency``Ro's Smoldering `Disjunction: Rune of Flash,`Flake of Lodestone, Rune of`Coruscating``Succor: Rune of Opposition,`Rune of Contradiction, Page`81 Yaeth's Compendium (Full`Page)``Frost: Rune of Draught, Dew`Clover, Rune of Tempest``Bonds of Tunare: Rune of `Conglomeration, Words of `Holding, Words of Expertise``Regrowth of the Grove: Page`78 Yaeth's Compendium (Left`Side), Dew Clover, Page 92 `Yaeth's Compendium (Full `Page)``Fist of Karana: Page 14 `Zeannor's Thesis (Left `Side), Rune of Flash, Rune `of Incitation``Circle of Seasons: Rune of `Conglomeration, Etched `Signet, Rune of Tempest``Legacy of Thorn: Scales of `Veeshan, Rune of `Incendiary, Words of `Expertise``Spirit of Oak: Bolts of `Tallon, Page 94 Yaeth's `Compendium (Right Side), `Page 95 Yaeth's Compendium `(Full Page)``Protection of the Glades: `Page 21 Toharon's Memoir `(Left Side), Runed Emblem, `Page 22 Toaron's Memoir `(Full Page)``Banishment: Words of Agony,`Words of Obliteration, Rune`of Divergency``Form of the Hunter: Page 94`Yaeth's Compendium (Left `Side), Page 94 Yaeth's `Compendium (Right Side), `Words of Virtue``Mask of the Hunter: Card of`Bristlebane, Dew Clover, `Page 115 Yaeth's Compendium`(Full Page)``Entrapping Roots: Rune of `Amalgamation, Words of `Covert, Rune of Association``Nature's Recovery: Page 102`Yaeth's Compendium (Left `Side), Dew Clover, Page 83 `Yaeth's Compendium (Full `Page)``Moonfire: Rune of Flash, `Flake of Lodestone, Rune of`Coruscating, Words of `Potence``Mask of the Stalker: Page `117 Yaeth's Compendium `(Left Side), Dew Clover, `Page 118 Yaeth's Compendium`(Left Side), Rune of Zephyr`
DTDpg74|"Oct 2`Today was an especially cold`day.  Never stay in Halas`again.  The only bright`point was I met a Master`Brewer named Garsen who`agreed to join our group and`help us explore the uncharted`depths of Permafrost.  He`seems to speak only in rhyme`which is a bit annoying but`his skill with weapons makes`up for it.  He said he has to`keep practicing because he is`writing countless books of`Brewing Limericks.``Oct 3`Everfrost Mountains must be`the coldest place on Norrath,`and to make matters worse we`were almost killed by a`Mammoth that appeared over`a peak.  Tolan was almost`slain but Garsen saved him.``Oct 4`We discovered underground`caverns.  The only thing`more frightening than`monsters is Garsen opening`his mouth.  I'd say, "" I need`to sit and rest"".  He'd`follow with; ""Do you really`think that's best?""  Tolan`said, ""We could really use a`Cleric"".  Garsen replied,`""Don't be a hysteric"".  I`can't take it, can't take it."
DTDpg75|"Oct 5`Garsen was quite offended by`Tolan's outburst today.`Tolan said that our food`tasted like it came from the`sewer and Garsen, as usual,`replied with a rhyme, ""It`could taste better with a`skewer.""  Tolan made him`realize how irritating his`voice is.  One more rhyme,`ONE more damn rhyme, and`I'll kill him myself.``Oct 6`Garsen was quiet all day`today and didn't mutter a`word even when he was almost`killed and needed help.``However, when we stopped to`camp we had to sleep right`next to each other because of`our location.  Garsen was`murmuring rhymes in his`sleep.  Every damn word out`of his mouth rang in my ears.`Each syllable lingered just`long enough to drive me`crazy.  I kept praying that`the next word would not`rhyme.  Satisfaction never`came.``Tolan and I talked and de-`cided to help him sleep a bit`better.``Oct 7`We rifled through our de-`parted friends things and`found the unfinished`limericks and component`charts on the brewing trade.`After destroying many Tolan`suggested someone might want`to buy the rest.  We'll try`to sell them in Halas."
DTDpg76|"Oct 23`Just got out of prison and`finally received my possess-`ions back.  I arrived back`in Halas on the 9th and sold`the limericks to a Barbarian`who paid a hefty amount of`silver for the work.  As I`was walking down the street`a Blacksmith said, ""I'll`have to charge my usual fee`of 12 copper.""  His patron`replied, ""If I pay you that`much I'll be a pauper.""  I`had no idea if the rhyme was`intentional or not but un-`controllable rage swept over`me.  Slowly, ever so slowly,`I turned, grabbed the patron`by the throat and squeezed.`It took six guards to free`him.  One guard gave me a`strong warning and said,`""You must now leave our`city"".  Which was fine but`another guard said right`afterward, ""Do this again`and face the committee.""`Before I could realize it,`my hands were wrapped around`the guard's throat. Jail`wasn't that bad save the`rats, bats, mildew, and`stench.  Unusually, the jail`served rat sandwiches`everyday. At least no one has`said a rhyme to me since.`The end to the horror seems`far from sight. Rhyming`winter nightmares have sadly`impaled me. Writhing with`nightly havoc, sanity eludes`me."
Dumogre|Ogres are dumb                  by Zuqbert of Droga                                                                       Dear dumb Ogres and Thungar,                   Droga want make new friends and grow to prospersity in Kunark against our enemies.  But we thik Ogres are dumb and no want help from big dumb like rocks people like you.  Stay away from Droga.  you come here and we will laugh and point and call you names and throw stcks at you because you are stupid like a tree stump.  Don't come attack Droga.                                                                                                 Byebye dumb ogres,
Dumogre2|Ogres are dumb                  by Zuqbert of Droga                                                                       Dear dumb Ogres and Thungar,                   Droga want make new friends and grow to prospersity in Kunark against our enemies.  But we thik Ogres are dumb and no want help from big dumb like rocks people like you.  Stay away from Droga.  you come here and we will laugh and point and call you names and throw stcks at you because you are stupid like a tree stump.  Don't come attack Droga.                                                                                                 Byebye dumb ogres,                                     -Zuqbert
DyingStain|Making Dyes:``Dyes are made from the `extracts of plants and other`organic material.``You must go out and collect`items from the environment to`make the colors you desire.``Some include: permafrost`crystals, evergreen leafs,`sarcoscypha fungus, russet`oxide, jack-o-lantern fungus,`iron oxide, and charcoal.``Once you have collected an`item, one who is skilled in`the art of alchemy or`poison making can extract the`colors. This is done by `combining it with a flask of`water and an empty vial.`This will create the extract.`From here you must purchase`resin, a medium clay jar and`combine it with the extract.`One, two, or three resins`combined will provide a`different shade of the color.`Note: Only one resin is needed`for russet and iron oxide.``Staining your Armor:``To apply your product to a `piece of fine steel plate, you`must forge the armor with `lacquer, the dye, and a jar of` acid.``Once this process is finished`you will not be able to `remove the stain from your`armor.
EggRcpe|The following ingredients will produce a boiled rockhopper egg when placed in an oven:            a water flask                                                  a packet of spices                                          a rockhopper egg                                                                                  Enjoy!
Embalm|The following is the mixture necessary to brew embalming fluid.  The ingredients must be mixed within a Brewing Barrel.   Rubbing Alcohol, 2 Servings of Bog Juice and 1 Pile of Bone Granite Powder.  An amateur brewer should be able to complete the process.
enchan01|Existence is but a great illusion. Your aura, words, and actions affect everything around you. Go north and east from the Grounds of Fate Arena to the Hall of Sorcery. Take this scroll to the Enchantress Mespha Tevalian, and she shall guide you on your way.
EP2MAGNote1|Ans dutenus ial di xetanus. Ans vaeus xaui xau.``-Danvi
EP2WizEmeraldStaff|The last I heard of the emerald staff was that it lays resting near the runestone in the maze.
EP2WizIvoryBone|These bones sometimes wash up on the shores of the gulf.
EP2WizPlatinumToken|This valuable token is worthless in the prison of the planes.
EP2WizWhiteSash|This sash can be found near the spires of the deadly mountains.
EP2WizWornTurban|This turban was lost in the endless sea of tranquility.
EQthankU|Years ago, when EverQuest`was started, we could only`imagine the hurdles we would`encounter in releasing`this game.``Now that we have finally`released we realize one of`the most critical aspects`in making EverQuest was you.`Without your help and`persistence we could never`have prepared or balanced`this game.  Your comments`were taken to heart and`heavily weighed at every`turn.``The EverQuest team will not`forget the contribution you`have made in shaping`EverQuest.  We look forward`with anticipation to seeing`you in the game and`continuing to help us mold`and evolve Norrath for years`to come.``We thank you.``Sincerely,``The EverQuest Team
ErudClrGM01|Welcome friend. Come to the Temple of Light, in the city of Erudin. From the harbor, go through the entrance opposite of the boathouse, and then walk onto the blue teleport gem. Give this note to Leraena Shelyrak, and she will welcome you into the Followers of Quellious.
ErudClrGM02|Welcome friend. Join us in the worship of Prexus, the Ocean Lord. From the harbor, go through the entrance opposite the boathouse, and then walk onto the blue teleport gem. Seek out the Deepwater Knights, and give this note to Gans Paust, the Guild Master.
ErudEncGM01|You seek to learn the ways of the Enchanter? Join the Being's Keep. Go to the blue teleport gem above the fountain, it will take you into the palace. Go upstairs and give this note to Lanken Rjarn, he will help you learn the ways of magic.
ErudJourn1|Journal Excerpt One``The company with which I `travel has reached the `settlement of Freeport, little`more than a collection of `tents and wooden huts` guarded by ruffians and`crawling with brigands and`men of a most scrupulous`nature. Despite the filth`and seediness of the`settlement, I must admit there`are wonders to be found here `unlike any I have laid eyes on`in all of Antonica. Tradesman `peddle these strange wares `gathered from across the`Ocean of Tears on a`continent said to be filled`with lush forests and`strange humanoids, some of`which are fairly hospitable to`visiting foreigners. I can`only assume that we humans`are as strange to them as`they are to us.`My companions and I`will attempt to charter `passage on one of the trading `vessels as soon as we have `secured the necessary `provisions for the journey.``Journal Excerpt Two``Never have I dreamt of a body `of water so vast as the Ocean `of Tears, although my home `city of Qeynos rests against `the western coast of Antonica `I have never voyaged upon a `ship for such great distances `and so far from any visible `coastline. The traders that we`have purchased passage`from recount tales of`several Islands that have`been visible in the distance`through the ocean mist`and fog. They spoke of an`island of elven women that `slay any man who sets foot on `their sacred shores, of `goblins that live in the `shallows and underwater `caverns, and of one-eyed `giants that hunt sharks like `our fishermen hunt fish. There`are even tales of lost ships `that haunt the ocean, manned `by crews of the dead. How`much truth there is to any`of the tales is questionable`but if anything, they make`for entertaining stories to`pass the time at sea.``Journal Excerpt Three``The ship that carries my `companions and I has docked`on the shore of a region`called the Butcherblock`Mountains. Apparently this`is the homeland of the`Dwarves, a race of short,`stocky, gruff, and hairy`people with a fondness`for battle and beer.`I'm afraid I have not much in `common with these dwarven`folk but the warriors of my`company seem to have`taken a liking to them.`There are none among us`who speak their language but`a few of the dwarves that`reside near the docks have`learned enough of our`human tongue to answer`basic questions we have`presented to them, and`beneath their gruff and`rugged mannerisms they`seem to possess a great`deal of `patience.`
ErudJourn2|Journal Excerpt Four``The dwarves have been kind `enough to invite us to their `home city of Kaladim, a rather`stuffy and cramped `subterranean city built into `one of the taller mountains of`the Butcherblock range. The `most impressive sight so far `has been the enormous statue`that has been carved into the `very side of the mountain. `Apparently it is the visage of`a great dwarven king. Some of `our company has taken a liking`to the strong brews of the `Dwarves. I fear it may be time`to move on before their minds `get dulled by the intoxicating`substances, and the `oppressiveness of being `constantly surrounded by`stone and the clatter of the`mines echoing through out`the caverns is wearing on my`sanity.``Journal Excerpt Five``My company has left the `dwarven capitol of Kaladim`and now journeys into the`deep forests of the Faydark,`home of the elves.`We have had the fortune`of hiring a scout and `translator for our journey `into the lands of the elves. `It seems this odd individual, `Tolsarian, is a Half-Elf, I `had heard of the union`between an elf and human`but have never before`actually had the`opportunity to meet one. I`found Tolsarian to be a very `intelligent individual and he `possessed a vast knowledge`of the Faydarks and its many`inhabitants. Tolsarian spoke `little however of his `heritage, he spoke of the `humans and elves as if neither`were his people, and I sensed `a deep sadness in his `demeanor. Tolsarians spirits `did seem to lift a bit when we`reached the tree city of the `wood elves, the Fier'Dal I `believe it was that Tolsarian `called them, and were greeted `by an elven maiden that `appeared before us as if she `had stepped forth from the `very bark of the tree before `us.``Journal Excerpt Six``I've found my stay in the tree`city of Kelethin much more `pleasing than my stay in the `stifling halls of Kaladim. `Some of my company do not `agree with my pleasure, they `find the wine of the elves to `be far less enjoyable than the`rich brews of the dwarves.`These drunkards in my`company have such simple`minds to base so much of`their enjoyment off the`imbibing of intoxicating`beverages. These Fier'Dal are`a strange people, even `stranger to me than the`dwarves. The dwarves are`blunt of speech and manner`and their simple ways are`easy for even the weakest`minded of my companions`to understand. The Fier'Dal` however are puzzling.`I have no doubt that they are `an intelligent people but they`are uninterested in`scholastics and conventional `knowledge. Instead these aptly`named Wood Elves are`frivolous and mysterious,`spending all their time`sneaking about the forests,`caring for its wild beasts,`and singing and dancing`in their tree top city.`Their history and lore `seems to be told mostly in `folklore and poetry, though `they have a written language, `which according to Tolsarian, `is shared with their relatives`the High Elves. They are `however, a good people, and `there is wisdom in their `poetry and song.`
