zone_shortname|creature_name|menu_text|option_id|option_text|Type|ReactionValue|PositionX|PositionY|PositionZ|Heading|AddedX|AddedY|DelayMS
airplane|Wizard_Schrock|Greetings,  $N. Do you believe that you are a [great Wizard]?|1|Summon Neasin Leornic|say|Till next time!  Farewell!|||||||
airplane|Wizard_Schrock|Greetings,  $N. Do you believe that you are a [great Wizard]?|1|Summon Neasin Leornic|despawn|self|||||||
airplane|Wizard_Schrock|Greetings,  $N. Do you believe that you are a [great Wizard]?|2|Summon Abec Ianor|say|Till next time!  Farewell!|||||||
airplane|Wizard_Schrock|Greetings,  $N. Do you believe that you are a [great Wizard]?|2|Summon Abec Ianor|despawn|self|||||||
airplane|Wu_the_Enlightened|Greetings Warrior of mind and body. To prove your worth to me, you must complete a test. Which test do you wish to take? I will permit you to take the test of Tears, Fists, or Tranquility.|1|I am finished for now.  Let Holwin return.|say|Very well,  $N.  Farewell.|||||||
airplane|Wu_the_Enlightened|Greetings Warrior of mind and body. To prove your worth to me, you must complete a test. Which test do you wish to take? I will permit you to take the test of Tears, Fists, or Tranquility.|1|I am finished for now.  Let Holwin return.|despawn|self|||||||
cabeast|Lord_Qyzar|Greetings, $N.|1|What is this matter of betrayal?|say|One of our agents, a hero by the name of Goxnok, has found evidence that the book entitled 'Charasis' has been taken from this temple and is to be delivered to an unknown foe in the Outlands. Go at once to the lower levels of the temple and greet Goxnok. Hurry, before he departs!|||||||
cabeast|Lord_Qyzar|Greetings, $N.|1|What is this matter of betrayal?|spawnunique|106301|1000|-113|-27.99773|30|||
cazicthule|Gimlik_Cogboggle|Well met, noble soul!  I'm Gimlik Cogboggle. You are correct, the Gimlik Cogboggle, renowned adventurer, scholar, and yes... creator of spells.  Please don't goggle or touch.  Your opportunity has arrived, my friend.  I was sent here to complete a very important task and for that, I will need some slight assistance.  If you will be kind enough to follow me, I'll show you to your doom... err... get this show on the road.  Just let me know when you're ready.|1|I am ready.|despawn|self|||||||
cazicthule|Gimlik_Cogboggle|Well met, noble soul!  I'm Gimlik Cogboggle. You are correct, the Gimlik Cogboggle, renowned adventurer, scholar, and yes... creator of spells.  Please don't goggle or touch.  Your opportunity has arrived, my friend.  I was sent here to complete a very important task and for that, I will need some slight assistance.  If you will be kind enough to follow me, I'll show you to your doom... err... get this show on the road.  Just let me know when you're ready.|1|I am ready.|spawn|48402|npcX|npcY|npcZ|npcHeading|||
ecommons|Altunic_Jartin|Greetings, traveler! Have you need of provisions or perhaps other wares? I sell what I find upon the battlegrounds of the Commonlands.|1|Where is your house?|say|Follow me.|||||||
ecommons|Altunic_Jartin|Greetings, traveler! Have you need of provisions or perhaps other wares? I sell what I find upon the battlegrounds of the Commonlands.|1|Where is your house?|spawnunique|22196|-105.49|4707.63|-55.218731|0|||
erudnint|Toresian_Fhabel|Welcome. my friend! We are the Craftkeepers. We study the circle of magic called enchantment. What circle do you [study]?|1|I study enchantment.|say|Then I welcome you into our circle. It is good to see new blood.|||||||
erudnint|Toresian_Fhabel|Welcome. my friend! We are the Craftkeepers. We study the circle of magic called enchantment. What circle do you [study]?|1|I study enchantment.|spawnunique|23078|683|575|-15.99997|78|||
felwithea|Inkeeper_Freegraze|Welcome to the Traveler's Home, owned and operated by the House of Freegaze... err, I mean Freegraze, established in the year 2855. We gladly open our doors to any weary traveler. What can I do for you?|1|I am looking for Tolon Nurbyte.|say|So you are inquiring about Mister Tolon Nurbyte, eh? He is on the second floor, last door on the right. You two had best not be up to any mischief. The pair of you look a little shifty for the kingdom of Felwithe.|||||||
felwithea|Inkeeper_Freegraze|Welcome to the Traveler's Home, owned and operated by the House of Freegaze... err, I mean Freegraze, established in the year 2855. We gladly open our doors to any weary traveler. What can I do for you?|1|I am looking for Tolon Nurbyte.|spawnunique|61095|155|-343|14|8|||
firiona|#Sir_Hobble|Greetings, $N.|1|Hail, Sir Hobble.|emote|holds a cracked monocle up to his squinty eye. 'I say!! A talking bear!! Squire Fuzzmin, come and take a gander at this rare find. The wonders never cease in the land of Kunark!!'|||||||
firiona|#Sir_Hobble|Greetings, $N.|1|Hail, Sir Hobble.|spawnunique|84007|-3028|2884|-80.906052|128|||
firiona|Lenka_Stoutheart|Greetings, $N.|1|Tell me about Cabby Pale Ale.|spawnunique|84005|-1305|-3148|252.250198|0|||180000
freportn|a_greater_spirit|Greetings, shaman. Tell me, do you follow [Justice], [War], [Honor], [Fear], or [Hate]?|1|I follow Fear.|say|You would be best served by speaking to my brother in the next room,  $N.|||||||
freportn|a_greater_spirit|Greetings, shaman. Tell me, do you follow [Justice], [War], [Honor], [Fear], or [Hate]?|2|I follow War.|say|You would be best served by speaking to my brother in the next room,  $N.|||||||
freportn|a_greater_spirit|Greetings, shaman. Tell me, do you follow [Justice], [War], [Honor], [Fear], or [Hate]?|3|I follow Hate.|say|You would be best served by speaking to my brother in the next room,  $N.|||||||
freportn|a_greater_spirit|Greetings, shaman. Tell me, do you follow [Justice], [War], [Honor], [Fear], or [Hate]?|1|I follow Fear.|spawnunique|8118|103|67|28|508|||
freportn|a_greater_spirit|Greetings, shaman. Tell me, do you follow [Justice], [War], [Honor], [Fear], or [Hate]?|2|I follow War.|spawnunique|8118|103|67|28|508|||
freportn|a_greater_spirit|Greetings, shaman. Tell me, do you follow [Justice], [War], [Honor], [Fear], or [Hate]?|3|I follow Hate.|spawnunique|8118|103|67|28|508|||
freportn|Bondl_Felligan|Greetings, $N.|1|You can buy booze.|emote|suddenly becomes completely sober and says, 'Very well, shaman, please come with me.'|||||||
freportn|Bondl_Felligan|Greetings, $N.|1|You can buy booze.|spawnunique|8117|66|62|28|254|||
grobb|Basher_Avisk|Ranjor tell shaddernites to gets rids of spore guardian.  Ha!  Gud.|1|Where is the minstrel?|say|Dere stewpid skeleton singing by Basher Ganbaku. His post be up high.|||||||
grobb|Basher_Avisk|Ranjor tell shaddernites to gets rids of spore guardian.  Ha!  Gud.|1|Where is the minstrel?|spawnunique|52126|194|-107|43.399639|64|||
grobb|Basher_Nanrum|Peh! What am you wanted?! I am Basher Nanrum. You?  $N ? Heh, you look for works? Hmm, me tinks you too weakling for [job] me need done. Hmm.. You might do, mebbe.|1|Have you seen a skeleton?|say|Yeah! Me see dat bone man. He over by da Cleaver. He tink he a butcher or sumting!|||||||
grobb|Basher_Nanrum|Peh! What am you wanted?! I am Basher Nanrum. You?  $N ? Heh, you look for works? Hmm, me tinks you too weakling for [job] me need done. Hmm.. You might do, mebbe.|1|Have you seen a skeleton?|spawnunique|52125|361|-466|6|41|||
grobb|Urako|Me says hi to you.  What you want from me?  Oh!!  Me shaman trainer.  You must be shaman.  Are you [shaman Darkone]?|1|I will collect the Kaglari skeletons.|say|Tank you!!  Dere is fours of dem.  You can finds dem here in Grobb.  I no tink dey will want to come homes to Kaglari's closet.  You ask dem to come back to the closet and see whut dey say.  If you gets dem back me promise to gives you a Kaglari mana doll.|||||||
grobb|Urako|Me says hi to you.  What you want from me?  Oh!!  Me shaman trainer.  You must be shaman.  Are you [shaman Darkone]?|1|I will collect the Kaglari skeletons.|spawnunique|52056|156|-265|4|258|||
highkeep|Rodrick_Marslett|Oooh.. Hello, [guard]. Please do not let the [Teir'Dal] at me again. I can take no more.|1|I am searching for Fenn.|say|Are you searching for the rogue named Fenn Kaedrick? He used to be locked in here with me. That Lady McCabe bailed him out just minutes before the Teir'Dal planned to operate on him. He said that if I ever did escape, to venture to the very roof of this keep and wait till he showed up to escort me away from here.|||||||
highkeep|Rodrick_Marslett|Oooh.. Hello, [guard]. Please do not let the [Teir'Dal] at me again. I can take no more.|1|I am searching for Fenn.|spawnunique|6184|-24.55|-89.59|61.968761|66|||
highpass|Anson_McBale|Beat it,  $N,  unless you have something for me.|1|I need to see Stanos.|say|This better be important.|||||||
highpass|Anson_McBale|Beat it,  $N,  unless you have something for me.|1|I need to see Stanos.|spawnunique|5088|10|336|41.968781|225|||
innothule|Basher_Sklama|Me hear dat dere are humans, elves and other weaklings hunting in da swamp.|1|Tell me about the captain.|say|You speak of da skeleton.  He belong to Kaglari.  He in dis swamp on little island.|||||||
innothule|Basher_Sklama|Me hear dat dere are humans, elves and other weaklings hunting in da swamp.|1|Tell me about the captain.|spawnunique|52125|-1757|216|-23.890169|131|||
kaladimb|Jark|Greetings, $N.|1|I will fetch your dinner.|say|Har, I know you were a good sort. Nella has it. She's out there somewhere in the lower areas. She likes to visit the temple, so maybe she's there. Just tell 'er Jark sent ya and she'll prolly have everythin' ready fer me.|||||||
kaladimb|Jark|Greetings, $N.|1|I will fetch your dinner.|spawnunique|67090|708.9|178.5|0|194.2|||
kithicor|Grim_Oakfist|It is good to finally meet one who respects the disciplines of the Ashen Order.  All I have met are rangers.  They have interfered with my mission in the woods.|1|Tell me of your mission in the woods.|say|I have come here to avenge my family.  One season past, they were attacked by a trio of deadly tigers.  I came here to hunt the beasts down, but then I found the local rangers and residents here protect the tigers.  They seem to be legends in these parts.  The tigers even have name's!!  They call them Eenot, Reggit and Kobb.  I wish I had help from a fellow monk.|||||||
kithicor|Grim_Oakfist|It is good to finally meet one who respects the disciplines of the Ashen Order.  All I have met are rangers.  They have interfered with my mission in the woods.|2|I am a fellow monk.|say|Good!! The rangers are watching me so you must go alone.  I can only wait until the morning, then I must go.  If you find all three tigers, return their pelts to me and I shall reward you with something discovered for monks only.|||||||
kithicor|Grim_Oakfist|It is good to finally meet one who respects the disciplines of the Ashen Order.  All I have met are rangers.  They have interfered with my mission in the woods.|2|I am a fellow monk.|spawnunique|20276|-137|898|104.894852|0|||
kithicor|Grim_Oakfist|It is good to finally meet one who respects the disciplines of the Ashen Order.  All I have met are rangers.  They have interfered with my mission in the woods.|2|I am a fellow monk.|spawnunique|20277|-547|783|138.934753|0|||
kithicor|Grim_Oakfist|It is good to finally meet one who respects the disciplines of the Ashen Order.  All I have met are rangers.  They have interfered with my mission in the woods.|2|I am a fellow monk.|spawnunique|20000|-58|876|95.61734|0|||
lavastorm|a_fire_sprite|Greetings, $N.|1|I wish to challenge Eejag.|despawn|self|||||||
lavastorm|a_fire_sprite|Greetings, $N.|1|I wish to challenge Eejag.|spawnunique|27119|1037|298|-60|0|||
misty|Bronin_Higginsbot|Hello. It is dangerous out in the woods. You should go to Rivervale. It's at the end of the path. You will find good times there. Travel safely, my friend!|1|I will do you a small favor.|say|I have been tracked here by a bounty hunter named Slaythe. I have heard reports of his presence beyond the Great Wall. Please seek him out and bring me some body part of his as proof of his passing. Do this and the emerald shard is yours.|||||||
misty|Bronin_Higginsbot|Hello. It is dangerous out in the woods. You should go to Rivervale. It's at the end of the path. You will find good times there. Travel safely, my friend!|1|I will do you a small favor.|spawnunique|33146|664|893|-38.488468|0|||
oggok|Marda|Welcome to intelligence, young  $N! Did you think all ogres were inept? Ha!! I hope you show the glimmer. We shamans need more within our ranks. Our race needs to evolve!! So, are you one of the smart ogres or have I spoken too many syllables?|1|Tell me about the secret mission.|say|I have heard of your advancements. You are a fine addition to Oggok. I require your skill in handling a delicate matter. I want you to run out to the Bouncer's keep near the entrance to Oggok. There, you shall find a froglok named Glib. He will pose no threat to you. He has come on business and I have promised him protection. Tell him the Greenblood shaman sent you. He shall fill you in. Go at once.|||||||
oggok|Marda|Welcome to intelligence, young  $N! Did you think all ogres were inept? Ha!! I hope you show the glimmer. We shamans need more within our ranks. Our race needs to evolve!! So, are you one of the smart ogres or have I spoken too many syllables?|1|Tell me about the secret mission.|spawnunique|49127|-205.3|383|62.96875|0|||
oot|Styria_Fearnon|Welcome to my island. I always welcome visitors, but I would prefer that your stay not last too long. My warriors are sometimes tempted by others. That is why they all wear purity belts. I should warn you, also, to be on the lookout for the [Pirates of Gunthak].|1|What of Sentry Xyrin?|say|What? Why are you so concerned for Sentry Xyrin? She returned to Freeport last night right before.. Oh!! Oh, dear!! Right before the storm hit. If she did not make it back to Freeport. I fear she has drowned or is shipwrecked upon one of the nearby islands!! You must find her!|||||||
oot|Styria_Fearnon|Welcome to my island. I always welcome visitors, but I would prefer that your stay not last too long. My warriors are sometimes tempted by others. That is why they all wear purity belts. I should warn you, also, to be on the lookout for the [Pirates of Gunthak].|1|What of Sentry Xyrin?|spawnunique|69132|-612|-7332.0005|-2.4419|90|||
qcat|#Guard_Helminth|Who are you and what are you doing here? This place is not safe. You are to leave here immediately! You do not belong here!|1|I am ready to complete the mission.|despawn|self|||||||
qcat|#Guard_Helminth|Who are you and what are you doing here? This place is not safe. You are to leave here immediately! You do not belong here!|1|I am ready to complete the mission.|spawnunique|45006|npcX|npcY|npcZ|npcHeading|||
qcat|#Guard_Helminth|Who are you and what are you doing here? This place is not safe. You are to leave here immediately! You do not belong here!|1|I am ready to complete the mission.|spawnunique|45007|410|-49|-41.968731|128|||
qcat|#Guard_Helminth|Who are you and what are you doing here? This place is not safe. You are to leave here immediately! You do not belong here!|1|I am ready to complete the mission.|spawnunique|45008|330|-49|-41.968719|0|||
southkarana|a_hermit|Huh!? Leave now before my pets devour you!|1|I wish to join the Unkempt Druids.|say|Then please wait outside for Master Jale Phlintoes. He will be arriving soon.|||||||
southkarana|a_hermit|Huh!? Leave now before my pets devour you!|1|I wish to join the Unkempt Druids.|spawnunique|14172|-5561|-3723|-3.78083|0|||
steamfont|Ennixy_Frennor|Unless you have something to tell me about yourself that I could possibly be interested in, be gone!|1|Hate be my guide.|say|So you work for Szorn eh? It's about time he sent someone to check up on me! The Koada'Dal in possession of the crate is on his way here right now to cut a deal with me. I have been trying to send word to Szorn for several days to send support as I do not plan on allowing the elf to leave these mountains alive. You have arrived just in time. Kill the elf and the crate is yours!|||||||
steamfont|Ennixy_Frennor|Unless you have something to tell me about yourself that I could possibly be interested in, be gone!|1|Hate be my guide.|spawnunique|56150|1385|-836|-111.906212|128|||30000
thurgadina|#Loremaster_Sarl|Ahhh, hello there. What can I do for you,  $N|1|The dragon was black.|say|Excellent, I know what we're lookin fer now.|||||||
thurgadina|#Loremaster_Sarl|Ahhh, hello there. What can I do for you,  $N|1|The dragon was black.|despawn|self|||||||
thurgadina|#Loremaster_Sarl|Ahhh, hello there. What can I do for you,  $N|1|The dragon was black.|spawn|115000|npcX|npcY|npcZ|npcHeading|||
tox|Ilanics_skeleton|I am no more.|1|Where is the scroll?|say|Kobold! Kobold!|||||||
tox|Ilanics_skeleton|I am no more.|1|Where is the scroll?|despawn|self|||||||
tox|Ilanics_skeleton|I am no more.|1|Where is the scroll?|spawnunique|38172|npcX|npcY|npcZ|npcHeading|||
