id|emoteid|event|type|text
1072|614|3|0|Well fought, well fought indeed!
1073|615|1|0|Rasha will see you buried.  Parts of you, anyway.
1074|615|3|0|My comrades will avenge my death.
1075|616|1|0|Freeze!
1076|616|3|0|Dead!
1077|617|1|0|It is going to be one of those days.  *SIGH*
1078|617|3|1|lies staring at you, eyes open in death.
1079|618|1|0|Your death shall be long and messy.
1080|618|3|0|Who would believe it?
1081|619|1|0|Legionnaries!  We have an enemy in our midst!
1082|619|3|0|I didn't think it would happen like this.
1083|620|1|0|Hssss!
1084|620|3|0|Well if this isn't a big pile of steaming dung!
1085|621|1|0|I am one of the chosen of Seru!
1086|621|3|1|falls at your feet, dead.
1087|622|1|0|Odd.  You look far less foolish than you actually are.  No matter.  Legionnaires, to me!
1088|623|1|0|If you only knew how much this pains me.....
1089|623|3|0|Death claims us all in the end.  I will be waiting for you.
1090|624|1|0|$name! Prepare your mind for eternity.
1091|624|3|0|Foolishness.
1092|625|1|0|I do believe we have a winner here folks!  Step right up and take a look at the newest dead man in Sanctus Seru!
1093|625|3|0|It is so cold........
1094|626|1|0|Matpa will have your head for this!
1095|626|3|0|The pain......
1096|627|1|0|Defend the Heart!
1097|627|3|0|What the ...look at that hole!
1098|628|1|0|Do not underestimate the Heart!
1099|628|3|0|I hope those bloodstains never come out!
1100|629|1|0|You are a sick little piggy.
1101|629|3|0|Oh. So THAT is what it looks like. Interesting.
1102|630|1|0|It must be pretty embarrasin' to be killed by a glorified clerk, eh?
1103|630|3|0|Four days from retirement......
1104|631|1|0|They say that we are only parchment pushers.  Watch me push a blade into your innards.
1105|631|3|0|Shi........
1106|632|1|0|Woe unto you.
1107|632|3|0|I can't froaking believe you froaking defeated me, you froaking scum, Froaaak!
1108|633|1|0|I think I will take your ears as a trophy.
1109|633|3|0|Farg!
1110|634|1|0|Let me school you in the errors of your ways!
1111|634|3|0|Perhaps I should call you the teacher.
1112|635|1|0|Like hot butter through a knife.  Um, like a, well, you know what I mean. I am going to cut you!
1113|635|3|1|reaches for you, desperation distorting his features
1114|636|1|0|Ho ho!  These old arms still have a fight or two left in them!
1115|636|3|0|Woof!
1116|637|1|0|Ligma will demonstrate the error of your ways.
1117|637|3|1|seems to be trying to say something.....
1118|638|1|0|DESTROY!
1119|638|3|0|SLAIN!
1120|639|1|0|You dare much, but it will profit you little.
1121|639|3|0|I don?t believe you defeated me.
1122|640|1|0|I swear, if you make my cake drop......!
1123|640|2|0|I play to bake bread, not crush!
1124|641|1|1|hisses at you.
1125|641|3|1|falls to its side, no longer breathing.
1126|642|1|1|raises its claws in fury!
1127|642|3|1|attempts to strike one last time...
1128|643|1|1|growls...
1129|643|3|1|falls lifelessly to the ground.
1130|644|1|0|The master is always in need of new sacrifices.  I hope he'll find you worthy!
1131|644|3|0|For every one that falls, two shall rise!  So says the master!
1132|645|1|0|These mines are property of the grimling empire!  You have trespassed and now you die!
1133|645|3|1|slumps to the ground in a puddle of dark blood
1134|646|1|1|emits an eerie screech and charges ferociously!
1135|646|3|1|squeals in pain and falls to its side as the life fades from its eyes
1136|647|1|0|Glortuk goomash clobtoga!
1137|647|3|0|Uuuuhhh...arg!
1138|648|1|1|beats its wings furiously and screeches dripping saliva and showing its sharp fangs.
1139|648|3|1|falls lifelessly to the ground.
1140|649|1|1|speaks in a voice like grinding stones, 'Mountain Tegi made of stone will crush this being of flesh and bone!'
1141|649|3|0|Uuuuhhh...arg!
1142|650|1|1|hisses revealing menacing fangs and lunges ferociously at its prey!
1143|650|3|1|collapses to the ground and begins to decompose at an alarming rate
1144|651|1|0|The winds will aid in your defeat.
1145|651|3|0|Let my spirit soar on the winds.
1146|652|1|1|prepares to crush you
1147|652|3|0|The rocks shall shake as the earth itself avenges me.
1148|653|1|1|roars a bestial war cry spraying red spittle as flames of rage fill his eyes!
1149|653|3|1|goes limp and falls from the air bursting into a cloud of dust upon impact with the ground
1150|654|4|1|coughs a few times and reaches out to you, 'Please help me.'
1151|655|1|0|You will pay for your mistake by dying!
1152|655|3|0|I shall have my revenge one day.
1153|656|1|0|Oh look, a talking lump of refuse. How novel!
1154|657|1|1|emanates darkness as it approaches.
1155|657|3|1|slowly fades away.
1156|658|1|1|is coming right at you.
1157|658|3|1|dissipates into the air.
1158|659|1|1|plods angrily towards you.
1159|659|3|1|shudders and falls back to the earth.
1160|660|1|1|burns brighter, it's coming for you.
1161|660|3|1|flames slowly burn out.
1162|661|1|1|bubbles and starts attacking you.
1163|661|3|1|collapses to the ground as its watery body loses form.
1164|662|1|1|opens its mouth to take a nibble.
1165|662|3|1|floats toward the surface of the sea.
1166|663|1|1|moves toward you in anger.
1167|663|3|1|pauses for a second shocked and then dies.
1168|664|1|0|You will burn for your transgressions against the Tro Jeg Clan.
1169|664|3|0|My spirit goes to join the everburning fire of death.
1170|665|1|1|lunges angrily towards you.
1171|665|3|1|shudders and then lies still on the ground.
1172|666|1|1|clicks as it prepares to attack.
1173|666|3|1|makes one last click and then collapses to the ground.
1174|667|1|0|I will flow as the water and emerge victorious.
1175|667|3|0|May my spirit find peace in the waters.
1176|668|1|1|fixes its fiery gaze upon you as it moves to attack.
1177|668|3|1|eyes slowly fade away as it dies.
1178|669|1|1|skitters towards you.
1179|669|3|1|stops moving and falls down as the rest of its life ebbs away.
1180|670|1|1|is coming at you.
1181|670|3|1|shrivels up and falls to the ground dead.
1182|671|1|1|growls and leaps to attack.
1183|671|3|1|lets out one last almost inaudible growl and then falls to the ground dead.
1184|672|1|1|shows its fangs as it prepares to make a meal of you.
1185|672|3|1|falls to the ground in a lifeless heap.
1186|673|1|0|I am of the Blood Tribe.  You will now die!
1187|673|3|0|The Blood Tribe shall avenge my death.
1188|674|1|1|Snarls and leaps!
1189|674|3|1|ceases to move.
1190|675|1|0|Submit!
1191|676|1|0|Foolish small-mind!  You will long rue the day you met our kind.
1192|676|3|0|Dead or a slave, it matters not to me.
1193|677|1|0|One portion, one portion in four!  I shall drink your soul, and wish for more!
1194|677|3|0|I, ah, I see the path I should follow, but something blocks it!  You have done me no favors mortal, I will be reformed by my master's will.
1195|678|1|0|Two portions, two portions of three!  The third to you, our master, we give to thee!
1196|678|3|0|Released!  I see the way now, I shall be free.  No!  No master, please!  I am so close, I beg thee, let me rest!  Aiiiyeee!
1197|679|1|0|I sense this will be a poor feeding, since only a fool would venture here to our lair, and the soul of a fool is meager sustenance.
1198|679|3|0|I have tasted your souls, and I WILL feed on them soon.
1199|680|1|1|ponderously swings at you with massive fists!
1200|680|3|1|falls to the ground with a thunderous crash!
1201|681|1|0|Death shall enslave you, as it has me!
1202|681|3|1|crumples to the ground, stirring up a cloud of dust.
1203|682|1|1|turns upon you with death in its eyes.
1204|682|3|1|falls to the ground with a thunderous crash.
1205|683|1|1|grates ominously, stone rubbing against stone as it attacks!
1206|683|3|1|becomes still, then drops to the ground abruptly leaving a lifeless pile of stones.
1207|684|1|1|rumbles menacingly as it strikes!
1208|684|3|1|shudders briefly, and becomes still.
1209|685|1|1|thrashes about, preparing its attack!
1210|685|3|1|spews blood from its jaws, crumpling as the life fades out of its body.
1211|686|1|0|Your soul shall be mine, air breather!
1212|686|3|1|burns brightly a moment, before sinking to the ground.
1213|687|1|1|tastes the air, it seems to sense an intruder.
1214|687|3|1|falls dead to the floor, its eyes filled with disbelief.
1215|688|1|1|drips black blood as it slides across the floor at you.
1216|688|3|1|falls to the floor.  You are uncertain if it is truly dead this time.
1217|689|1|1|spits black blood on your armor and slithers toward you.
1218|689|3|0|Death is but a doorway, for a god!
1219|690|1|1|strikes at you in a flurry of blackened blood and bile.
1220|690|3|1|falls to the floor.  You are uncertain if it is truly dead this time.
1221|691|1|1|spits black blood on your armor and slithers toward you.
1222|691|3|1|falls in a pool of black blood.
1223|692|1|1|spits black blood on your armor and slithers toward you.
1224|692|3|0|Excellent, a soul to consume.
1225|693|1|0|I can smell the weakness in you, wretch.
1226|694|1|1|swings at you with amazing speed!
1227|695|1|1|drips black blood as it slides across the floor at you.
1228|695|3|1|falls in a pool of black blood.
1229|696|1|0|Welcome to your new home, slave!
1230|697|1|1|laughs and attacks you!
1231|698|1|0|Take one last look at the face of your god!
1232|699|1|1|releases a roaring hiss and attacks!
1233|700|1|1|slithers across the floor, fangs gleaming with poison.
1234|700|3|1|falls dead to the floor, its eyes filled with disbelief.
1235|701|1|1|spreads its hood and strikes at you.
1236|701|3|0|How...did...ugh...
1237|702|1|1|slithers at you with amazing speed!
1238|703|1|1|glows with power as it prepares its attack!
1239|704|1|0|How does it feel to meet your god face to face?
1240|704|3|0|How...did...ugh...
1241|705|1|1|spits black blood on your armor and slithers toward you.
1242|705|3|1|falls to the floor.  You are uncertain if it is truly dead this time.
1243|706|1|0|Excellent, a soul to consume.
1244|706|3|1|falls in a pool of black blood.
1245|707|1|1|tastes the air, it seems to sense an intruder.
1246|707|3|0|How...did...ugh...
1247|708|1|1|drips black blood as it slides across the floor at you.
1248|708|3|0|Excellent, a soul to consume.
1249|709|1|1|strikes at you in a flurry of blackened blood and bile.
1250|709|3|1|falls in a pool of black blood.
1251|710|1|1|tears away from the wall and tries to pummel you.
1252|710|3|1|crumbles to the ground, devoid of all life.
1253|711|1|0|What kind of fool enters this place uninvited?
1254|711|3|1|falls to the floor, its eyes filled with disbelief.
1255|712|1|1|glares at you with unblinking eyes.
1256|712|3|1|falls to the ground dripping green blood on the stone floor.
1257|713|1|1|drips black blood as it slides across the floor at you.
1258|713|3|0|Death is but a doorway, for a god!
1259|714|1|0|Excellent, a soul to consume.
1260|714|3|1|falls to the floor.  You are uncertain if it is truly dead this time.
1261|715|1|0|Ah good, more blood to experiment with.
1262|715|3|0|Death...cannot...have...me...
1263|716|1|1|spreads its hood and strikes at you.
1264|716|3|0|Death...cannot...have...me...
1265|717|1|0|Excellent, a soul to consume.
1266|717|3|0|Death is but a doorway, for a god!
1267|718|1|1|raises his arms in anger.
1268|718|3|1|falls lifelessly to the ground.
1269|719|1|0|Tavuel tekar!
1270|719|3|0|Xua ane matarun!
1271|720|1|1|growls angrily.
1272|720|3|1|falls lifelessly.
1273|721|1|1|reveals its fangs.
1274|721|3|1|descends from the sky, crashing to its death.
1275|722|1|1|beneath you begins to open up.
1276|723|1|1|rampages toward you.
1277|723|3|1|falls forward, unleashing a hollow roar.
1278|724|1|1|brandishes razor sharp claws and circles inward.
1279|724|3|1|unleashes a lupine yelp as it collapses on the floor.
1280|725|3|1|collapses forward.
1281|726|1|1|races toward to attack.
1282|726|3|1|stops moving.
1283|727|1|1|flies forward, gnashing its teeth.
1284|727|3|1|flutters to the ground.
1285|728|1|1|scuttles forward to attack.
1286|728|3|1|collapses in a heap of broken legs.
1287|729|1|1|drips venom from its fangs and advances.
1288|729|3|1|rolls over, curling its legs over its body.
1289|730|1|1|charges forward.
1290|730|3|1|curls away from its attacker and dies.
1291|731|3|1|stares dumbfounded at his wounds as he falls to the ground.
1292|732|1|1|wiggles its fangs and advances.
1293|732|3|1|unleashes a chittering keen as it falls backward.
1296|733|1|0|Come and feel the blade of the Dark Bargainers.
1297|733|3|0|Unngh.. Why you kill me?? Probably for dumb bracers guard give to me. Dey not even Ratraz's.. You now cross da Dark Bargainers and all Neriak be gettin' revenge for Ratraz..
1298|734|1|2|Those who raise arms against me will suffer my wrath!
1299|735|1|0|I shall pluck you limb from limb!!
1300|735|2|0|Curse you!! Da bashers will have yer head.
1301|736|1|0|I shall pluck you limb from limb!!
1302|736|2|0|Curse you!! Da bashers will have yer head.
1303|737|1|0|Where is my trusty bodyguard?!!
1304|738|1|0|Brell Serilis is my power. Let none stand in his way.
1305|739|4|0|Welcome to our temple. We are the paladins of the Church of Underfoot. I am lord of our holy order. I call upon you to assist us in the defense of Kaladim. Speak with the master paladins or priests and find ways to prove your allegiance to Brell.
1306|740|4|0|Greetings, my friend. What brings you so far from the trodden path? I hope you do not plan on stealing my [fishing spot].
1307|738|4|0|Greetings, friend. I am the keeper of the [Boots of Ro]. Please rest here with us in our camp of righteousness. No harm can come to you while we paladins keep watch.
1308|741|1|0|Rest now, the dead are far superior subjects!
1309|741|3|0|I release my soul to the master! Yours is no victory. . .
1310|742|1|1|spies you and attacks.
1311|742|3|0|Master. . .
1312|743|1|0|Death shall find you this day!
1313|743|3|0|There is no shame in falling to a foe of the master!
1314|744|1|0|The ring does move, the ring does spin, in the end the ring does win!
1315|744|2|3|Smoke rises from the fallen grimling's carcass.
1316|745|1|0|Silly strange one you are, to challenge the ring of fire!
1317|745|2|3|Smoke rises from the fallen grimling's carcass.
1318|746|1|1|skitters towards you, rubbing its forelegs together in anticipation.
1319|746|3|1|oozes foul blood from its cracked shell.
1320|747|1|1|seizes the opportunity to hinder you.
1321|747|3|1|collapses in a pile of putrid dust.
1322|748|1|1|creaks and moans. 'Death is truth and death is free, come now and die to me!'
1323|748|3|1|explodes into a cloud of thick dust.
1324|749|1|0|Challenging an elite warrior is unwise!
1325|749|3|0|My death means nothing, you shall not succeed.
1326|750|1|0|Our master demands that we take your life now. Goodbye!
1327|750|3|1|falls with glazed eyes, appearing slightly surprised.
1328|751|1|1|murmurs quiet incantations before whispering, 'For our safety!'
1329|751|3|0|I hope my death serves some purpose. . .
1330|752|1|0|You shall be struck down! I must protect the master!
1331|752|3|0|Failure. . .
1332|753|1|3|A bloodcurdling screech is heard as a mysterious figure begins to attack you.
1333|753|2|3|Numerous tentacles falls to the floor resting besides the lifeless monster.
1334|754|1|3|Long flowing robes take form and begin to attack you.
1335|754|3|1|disintegrates into thin air only leaving torn robes behind.
1336|755|1|1|begins to mindlessly pursue you.
1337|755|3|1|disperses into a pile of mangled and bloodied clothing.
1338|756|1|3|A shaded creature begins to run towards you.
1339|756|3|1|staggers and slumps over.
1340|757|1|1|hisses and strikes.
1341|757|3|1|sinks to the ground, its scales dripping with rivulets of blood.
1342|758|1|1|turns towards you suddenly and begins to attack.
1343|758|2|3|The force holding the shade in place dies as its robes fall to the ground.
1344|759|1|1|lunges towards your throat, hungry for blood.
1345|759|3|0|I will be reborn again, and you will die!
1346|760|1|3|A morbidly wretched creature looks in your direction and begins to slowly move towards you.
1347|760|3|1|slurs some insults before it falls to the ground.
1348|761|1|0|I will enter your mind and kill you from the inside out!
1349|761|3|0|I cannot die, this cannot be happening!
1350|762|1|0|This should not take long. You have no chance against me.
1351|762|3|1|gasps for his last breath before he falls over and begins to bleed.
1352|763|1|0|You will visit your god soon enough mortal.
1353|763|3|1|sufferers numerous puncture woulds and falls dead to the ground.
1354|764|1|1|cries out, 'You shall be turned into dust!'
1355|764|3|1|shrieks, 'Death is only an illusion!'
1356|765|1|0|Only your death will satisfy us!
1357|765|3|0|We do not fear death!
1358|766|1|3|A massive figure of flowing robes turns toward you and begins to give chase.
1359|766|2|3|Flowing ceremonial robes fall to the ground as the servitor ceases to attack.
1360|767|1|1|screeches and moves towards you with unbelievable speed.
1361|767|3|0|I have fallen but you shall never defeat my master you fool!
1362|768|1|0|Yikitu uxen jidak!
1363|768|3|1|slumps to its knees, coughing green blood all over your armor. It then falls forward, dead at your feet.
1364|769|1|0|Yikitu uxen jidak!
1365|769|3|0|Grendal ix thilua?
1366|770|1|1|claws for your eyes in total abandon
1367|770|3|1|slumps to its knees, coughing green blood all over your armor.  It then falls forward, dead at your feet.
1368|771|1|1|attempts to gnaw through your helmet!
1369|771|3|1|is cleaved in two and lies lifeless on the floor.
1370|772|1|1|claws for your eyes in total abandon
1371|772|3|1|slumps to its knee, coughing green blood all over your armor. It then falls forward, dead at your feet.
1372|773|1|1|lunges at you, causing small tremors with each step
1373|773|3|1|dissolves into a pile of black sand.
1374|774|1|1|materialized out of the darkness
1375|774|3|1|dissolves into the darkness
1376|775|1|1|rumbles up from the ground and stumbles toward you menacingly.
1377|775|3|1|becomes completely still for a moment and then shatters into a thousand tiny black pebbles, pelting everyone with sharp stones.
1378|776|1|1|lunges at you, causing small tremors with each step
1379|776|3|1|crumbles to the floor in a pile of rubble
1380|777|1|0|Tekar Ans Sivuelaeus!
1381|777|3|1|quivers and then melts silently into the dark marble.
1382|778|1|1|pulls himself together and swings for your head!
1383|778|3|1|crumbles to the floor in a pile of rubble
1384|779|1|1|glides silently across the floor to attack you
1385|779|3|1|quivers and then melts silently into the dark marble.
1386|780|1|0|Ishinae Xaui Xua
1387|780|3|0|No! The ceremony must be finished!
1388|781|2|1|explodes in a shower of green slime!
1389|782|1|1|glides silently across the floor to attack you
1390|782|3|0|Atet ial nekiu ura teka
1391|783|3|0|Grendal ix thilua?
1392|784|1|0|Tekar Ans Sivuelaeus!
1393|784|3|0|Atet ial nekiu ura teka
1394|785|1|3|An Akhevan lifetaker's eyes go black with rage as he glides effortlessly across the broken floor toward you
1395|785|3|0|Xua ka n'Xeturis sa lshinae
1396|786|1|0|Justice is swift and sure, foolish mortal.
1397|786|3|0|The justice of the Tribunal will fall upon you!
1398|787|1|1|squeals sharply as it lunges at you.
1399|787|3|1|lets out one last squeal as it topples over.
1400|788|1|1|growls. 'Why can I not spend my last few hours in peace?'
1401|788|3|0|So, my death has simply come a little faster. . .
1402|789|1|1|cries out, 'Guards! Guards!'
1403|789|3|0|Justice comes to all, in time.
1404|790|1|1|cries out, 'Guards! Guards!'
1406|791|1|1|screeches as it attacks.
1407|791|3|1|continues to twitch as it dies.
1408|792|1|1|scurries towards you.
1410|792|3|1|twitches a few times, then lies motionless.
1411|793|1|1|grinds its limbs together as it swings at you.
1412|793|3|1|crumbles into a pile of rubble.
1413|794|1|1|skitters across the ground towards you!
1414|794|3|1|legs twitch spastically as the final blow is dealt.
1415|795|1|1|'s ethereal roots entangle your mind, draining your thoughts.
1416|795|3|1|bark begins to crumble, and its branches shrivel.
1417|796|1|1|dives towards you.
1418|796|3|1|falls from the air, lifeless.
1419|797|1|1|lunges towards you, clawing at your throat.
1421|798|1|1|absorbs your thoughts, replacing them with nightmares.
1422|798|3|1|releases its grasp on your mind.
1423|799|1|1|wails loudly in agony!
1424|799|3|1|laughs, as if relieved by its death.
1425|800|4|1|looks at you with wide, wild yes. 'Who.. What.. Who are you? If you are a sending from my [brother], you will not take me so easily!'
1426|801|1|3|The Tyrant of Nightmare charges forward to crush its enemy.
1427|801|2|3|The Tyrant of Nightmare falls back off its steed and crashes to the ground in a pile of bones.
1428|802|1|1|moves into action, its fist of rotten mail descending toward your head to knock you senseless.
1429|802|3|1|falls forward into a heap of bones and decayed mail.
1430|803|4|1|moans sadly, but doesn't seem to notice you.
1431|804|1|3|You hear a squeak as a disease-covered rodent lashes out at you.
1432|804|3|1|curls into a ball as its tail shrivels.
1433|805|1|1|looks at you hungrily through multifaceted eyes.
1434|805|3|1|spins in small circles as it drifts to the ground.
1435|806|1|1|flaps its wings as it flies at you.
1436|806|3|1|spins in small circles as it drifts to the ground.
1437|807|1|1|realizes there is no retreat and throws itself at you.
1438|807|3|1|screeches in pain.
1439|808|1|3|You narrowly escape as a pungent smelling rodent lunges at you.
1440|808|3|1|takes a bite at you with its last breath.
1441|809|1|1|attacks from nothing more than pure instinct.
1442|809|3|1|tries to squirm away, then falls still.
1443|810|1|1|strikes at you with its feeder.
1444|810|3|3|You turn your face away as a disease ridden cloud rises from the corpse at your feet.
1445|811|1|1|strikes at you with its feeder.
1446|811|3|1|drops slowly as its wings lose the speed to carry it.
1447|812|1|0|Grimror weel break yuuz!
1448|812|3|0|Arrgh!! Ogres find and bash you! I sleep now.
1449|813|1|1|swings at you with a crude weapon.
1450|813|3|0|Me let you win, you not as strong as you think.
1451|814|1|3|The murky ground bubbles as it attacks.
1452|814|3|3|You wipe bits of goo from yourself as the creature dies at your feet.
1453|815|1|1|attacks from nothing more than pure instinct.
1454|815|3|1|screeches in pain.
1455|816|1|1|turns toward you, baring its rotting teeth
1456|816|3|1|smiles at you, happy to be released from its pain.
1457|817|1|1|beats its chest as it throws itself at you.
1458|817|3|1|grunts loudly as it gropes at you.
1459|818|1|1|spits venom at you as it notices you approach.
1460|818|3|1|oozes a clear liquid as it stops clicking and falls still.
1461|819|1|3|You hear a squeak as a disease-covered rodent lashes out at you.
1462|819|3|1|dies as it tries to scurry away.
1463|820|1|3|You hear a squeak as a disease-covered rodent lashes out at you.
1464|820|3|1|takes a bite at you with its last breath.
1465|821|1|3|The murky ground bubbles as it attacks.
1466|821|3|1|stops bubbling as it falls dead.
1467|822|1|1|bubbles and sputters as it oozes toward you.
1468|822|3|1|stills and sinks into the wet ground.
1469|823|1|1|spits venom at you as it notices you approach.
1470|823|2|3|Clear liquid splashes in your face as the Arachnid dies.
1471|824|1|3|You hear a clicking sound as an Arachnae lunges toward you.
1472|824|3|1|stills as it falls dead.
1473|825|1|1|rears onto its back legs as it leaps at you.
1474|825|2|3|Clear liquid splashes in your face as the Arachnid dies.
1475|826|1|0|You leave, this Bubonian land!
1476|826|3|1|coughs and sputters before falling dead.
1477|827|1|1|twitches its whiskers angrily as it notices your presence.
1478|827|3|0|You kill, but there always be Bubonians!
1479|828|1|3|Hackles rise on the Bubonian's back.
1480|828|3|1|coughs and sputters before falling dead.
1481|829|1|0|GoonjabagoodjabagoonjabaGahhhhh!
1482|829|3|0|Argggg.' It then coughs violently and falls to the ground, his fur matted with disease and decay.
1483|830|1|0|You leave, this Bubonian land!
1484|830|3|0|I escape Tarkiz now. . .
1485|831|1|3|You catch a gleam out of the corner of your eye moments before a lightcrawler attacks.
1486|831|3|3|A lightcrawler flips over on its back as its legs convulse violently.
1487|832|1|3|You jump as pincers fly by your face.
1488|832|3|1|clicks as its carapace shatters.
1489|833|1|0|I hope you enjoyed your life, for it is time for it to end.
1490|833|3|1|begins to scream as its body falls limp.
1491|834|1|1|chants inaudibly as waves of dark power start to rise from it.
1492|834|3|0|No, this isn't possible, how could I fail?
1493|835|1|0|You have not been granted passage.
1494|835|3|0|Just because you have exterminated me does not mean you will progress.
1495|836|1|0|So you wish entrance to the Crypt? Not while I live!
1496|836|3|0|You have battled well and earned entry, however do not think the path is easy from here.
1497|837|1|0|Make peace with whatever powers you worship, for it is time to meet your maker.
1498|837|3|0|The Plaguebringer will not let my death go unpunished.
1499|838|1|1|swipes at you, in protection of the Crypt.
1500|839|1|0|I see that you die swiftly.
1501|839|3|0|You fought well, but know you have more to fear than just I.
1502|840|1|0|You have tread onto sacred ground!
1503|840|3|1|stiffens, then starts to decay as the magic surrounding it fades.
1504|841|1|1|glares at you with cold eyes, 'I will die or you will die, there are no other options. It is time to fight.'
1507|842|1|0|You will pay for violating Paffa's domain.
1508|842|3|0|Next time I will prove myself worthy to Paffa.
1509|843|1|1|stops gnawing on a hunk of bone long enough to swing at you
1510|843|3|1|dies.
1511|844|1|0|You should not be here. Prepare to die infidel!
1512|844|3|0|The corruption has just begun, you shall pay.
1513|845|1|0|I shall burn you endlessly.
1514|845|3|1|eyes lose their glow and drops lifelessly to the floor.
1515|846|1|0|Another victim has come to die for the Plaguebringer.
1516|846|3|0|Death has found me at last.
1517|847|1|0|Death comes your way foolish one.
1518|847|3|0|Noooooo! Ultor will feed on your entrails for this.
1519|848|1|0|I will collect your soul for my lord.
1520|848|3|0|My vengeance will come one day.
1521|849|1|3|The dark knight looks at the foolish mortals who have come into his domain and begins to chant a dark spell, 'Doremai Peyunai Rezgra Yru Zainweedi QUANDOZI QUANDOZI QUANDOZI! Suddenly, three howls of pain and agony are heard as the foul knight channels energy from the tortured souls surrounding him powered by the stolen energy and says, 'I shall enslave your souls for all eternity and you will learn what it means to defy my lord, Bertoxxulous.'
1522|849|3|0|A valiant effort, but the chilling bosom of decay will overtake you in the end!
1524|850|1|3|Piercing ebony eyes see through to your soul and then the dark being standing before you speaks the mystic symbols of a summoning spell in a long lost ancient language. The creature then turns towards you and says 'Ah we have guests I see. How kind of Carprin to let you visit me I so hope I do prove to be entertaining' 
1526|851|1|0|Mine will be the greatest story of all, are you prepared to play your part?
1527|851|3|0|I... I cannot believe this... my story cannot end like thissss...
1528|852|7|3|A raspy voice is heard as the High Priest begins to speak, 'You have come far to seek your demise. Raex! Vindor! My generals to me. Slay these infidels in the name of our lord the Plaguebringer.'
1529|853|1|3|Evil emanates from the chapel up ahead.
1530|853|2|3|The essence of decay has been quelled in this being, its lifeless form falls to the ground.
1531|854|1|0|Cry havoc, and let slip the ghasts of decay!
1532|854|3|3|In a dying breath, the being in front of you cries out a final breath, cursing you to a horrid, wilting, death 'Charujnya Kleptuak KROIYA!' 
1533|852|1|3|The remains of a fresh sacrifice are littered across the altar.
1534|852|2|3|Dead silence reigns throughout the crypt as the heroes stand victorious over the High Priests lifeless body. Moments later a soft almost inaudible voice echoes through your mind whispering, 'Free us you must.' Then a wretched creatures appears out of nowhere shaking and muttering gibberish.
1535|855|1|1|leaps forward, teeth bared
1536|855|3|1|falls over into a smelly heap
1537|856|1|1|caws and swoops towards you!
1538|856|3|1|falls to the ground in a pile of feathers and broken bones.
1539|857|1|1|grunts loudly and attacks!
1540|857|3|1|grunts and falls to the ground!
1541|858|1|1|growls and charges at you!
1542|858|3|1|slams against the ground as it attempts a final swing!
1543|859|1|1|howls and attacks!
1544|859|3|1|chokes on its final roar.
1545|860|1|1|swings its head wildly, attempting to gore you!
1546|860|3|1|releases one last gurgling roar and collapses.
1547|861|1|1|seems to twist and blur before you.
1548|861|3|1|begins to melt before it can hit the ground!
1549|862|1|1|roars and charges with its head lowered!
1550|862|3|1|takes one last swing and falls.
1551|863|1|1|lashes out at you!
1552|863|3|1|collapses to form a pile of fur and gore.
1553|864|1|1|swoops in to attack you!
1554|864|3|1|explodes in a rain of feathers and blood!
1555|865|1|1|attempts to gouge your face!
1556|865|3|1|sounds eerily human as it releases its final shriek!
1557|866|1|1|rushes towards you with a disturbing howl!
1558|866|3|1|stumbles forward, unable to support itself under your assault!
1559|867|1|1|begins to chant in grotesque dialect.
1560|868|1|1|snaps its bloody fangs at you!
1561|868|3|1|cries out in pain and falls limply to the ground.
1562|869|1|1|emits a chattering sound and moves toward you!
1563|869|3|1|bursts from its injured areas and begins to dissolve.
1564|870|1|1|charges at you with terrifying speed!
1565|871|1|1|snaps at you with its many mouths!
1566|871|3|1|squeals as its skin crumbles and flakes apart!
1567|872|1|1|quickly moves to bind your limbs!
1568|872|3|1|collapses into a pool of its own blood and venom.
1569|873|1|0|You will fall to the might of the Diaku!
1570|873|3|0|This will not please the God of War.
1571|874|1|0|You have chosen me as your opponent? This gladiator shall not lose!
1572|874|3|0|You have performed well, I did not expect you to defeat me.
1573|875|1|1|materializes out of the darkness
1574|875|3|1|dissolves into the shadows
1575|876|1|1|stretches its wings out wide, and lifts its massive body into an attack position.
1576|876|3|1|stumbles, falling lifelessly to the ground, its wings tattered and torn from the long battle.
1577|877|3|1|struggles towards its enemy, but falls short, letting out no more than a grunt, before it dies.
1578|877|1|1|roars loudly and charges.
1579|878|1|0|You have not chosen your battle wisely. Take up your swords, prepare your magicians, you will die this day!
1580|878|3|1|screams as their soul is consumed by the plane of war.
1581|879|1|1|lowers its head and charges directly at you!
1582|879|3|1|lets out an ear piercing howl, as it falls to its side, mortally wounded.
1583|880|1|1|soars into the air, preparing for an aerial attack, focusing its attention on you.
1584|880|3|1|eyes turn red with rage, as the bird falls lifelessly to the ground.
1585|881|1|1|lowers its head and charges directly at you!
1586|882|1|1|draws its sword.
1587|882|3|1|taps its sword back into place.
1588|883|1|0|For the glory of Marr!
1589|883|3|0|Death comes to us all. In time death shall find you.
1590|884|1|0|We fight with honor and glory! We fight for Ducee Inston!
1591|884|3|0|My death shall be honored by the Battalion of Marr.
1592|885|1|0|How dare you interrupt me!
1593|885|3|0|Ducee Inston shall continue to protect the halls without me...
1594|886|1|0|Ducee Imperon its time to arm yourselves!
1595|886|3|1|falls to the ground quietly whispering a prayer to Mithaniel Marr.
1596|887|1|0|Ducee Cupidon prepare for battle!
